group,bin,est,se
incumbent,-4,0.00013721704077802597,0.0002085019755334649
incumbent,-3,-0.0004603820321435792,0.0002733218040941252
incumbent,-2,-0.00237047696663852,0.0005041830573175716
incumbent,-1,-0.009514850934057495,0.0016036574550137605
incumbent,0,0.007997460761144584,0.0018197531001844958
incumbent,1,0.0009114758221409784,0.0009280760081115888
incumbent,2,0.0013743113605059812,0.0010960835397805448
incumbent,3,0.0020478890063436467,0.0010861132430224991
incumbent,4,0.00022039067551970774,0.0008182065712609471
incumbent,5,-0.0005109258714226934,0.0017189436764010798
incumbent,6,0.0002447182613827102,0.0010495863676547599
incumbent,7,0.00019800459576430534,0.001095196221896491
incumbent,8,-0.00018386027426749122,0.0009360336444442638
incumbent,9,0.0007560144461311074,0.0007136726387494633
incumbent,10,0.0002362321885547913,0.0006533682731594048
incumbent,11,-0.0005910452179065506,0.0010375715471945355
incumbent,12,-0.0020131972302231196,0.0007806241000882003
incumbent,13,0.0003800852541564031,0.0008060148510090788
incumbent,14,0.0002995873212872845,0.0007515771122993747
incumbent,15,0.0009734288962883781,0.0007288843611971042
incumbent,16,5.6469556528075195e-05,0.0006010446103127189
incumbent,17,-0.0007559587504180779,0.003123293731278187
newentrant,-4,0.00012580435925882007,0.000129035112641041
newentrant,-3,7.805548921085908e-05,0.00012679940661752966
newentrant,-2,-0.0007360798142341232,0.00029746025943929366
newentrant,-1,-0.004773853268311341,0.0012308400841608295
newentrant,0,0.005705111381617797,0.0006087152125843908
newentrant,1,0.00038858999370591503,0.0004480266369436265
newentrant,2,-0.00034621465366607945,0.0002964506855803573
newentrant,3,0.0002933514291729899,0.000479717809282881
newentrant,4,-0.00045447347263535034,0.0003420329146325203
newentrant,5,-0.00014739765533695664,0.0002852006974516742
newentrant,6,0.0004523136926372069,0.00023891121654119997
newentrant,7,0.0004367859868595956,0.00021661921288947757
newentrant,8,-0.0005070179395612637,0.0002294184366583448
newentrant,9,-0.00023149334113710255,0.00020465448453572542
newentrant,10,-6.738350396265622e-05,0.00015250921307788536
newentrant,11,2.319873639386158e-06,0.0003178450663181831
newentrant,12,-0.0001903093170773995,0.00010143057687868685
newentrant,13,-0.0001378085270153005,0.00016912809280833643
newentrant,14,-0.0003167971213356801,0.0001939140706510559
newentrant,15,-0.0001557065701140276,0.00014544005344811815
newentrant,16,4.7375459201211025e-05,0.00012627479050644525
newentrant,17,-0.0003028441474301919,0.0003921794777112915
