	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	tfpop_s_p	tfpop_s_p	tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid2_tfpop_s_p	resid2_tfpop_s_p	resid2_tfpop_s_p	tfpop_s_np	tfpop_s_np	tfpop_s_np	resid1_tfpop_s_np	resid1_tfpop_s_np	resid1_tfpop_s_np	resid2_tfpop_s_np	resid2_tfpop_s_np	resid2_tfpop_s_np
																		
Conventional	0.34	0.37	0.32	0.36**	0.38**	0.34**	0.27*	0.29**	0.29**	-0.03	0.04	0.01	0.03	0.04	-0.02	0.02	0.04	0.03
	(0.57)	(0.59)	(0.56)	(0.17)	(0.17)	(0.15)	(0.15)	(0.15)	(0.14)	(0.15)	(0.18)	(0.18)	(0.09)	(0.09)	(0.09)	(0.06)	(0.06)	(0.07)
Bias-corrected	0.47	0.54	0.44	0.36**	0.39**	0.34**	0.25*	0.27*	0.29**	0.00	0.08	-0.00	0.02	0.02	-0.05	0.01	0.02	0.00
	(0.57)	(0.59)	(0.56)	(0.17)	(0.17)	(0.15)	(0.15)	(0.15)	(0.14)	(0.15)	(0.18)	(0.18)	(0.09)	(0.09)	(0.09)	(0.06)	(0.06)	(0.07)
Robust	0.47	0.54	0.44	0.36*	0.39*	0.34*	0.25	0.27	0.29*	0.00	0.08	-0.00	0.02	0.02	-0.05	0.01	0.02	0.00
	(0.70)	(0.73)	(0.64)	(0.20)	(0.20)	(0.19)	(0.17)	(0.18)	(0.16)	(0.18)	(0.20)	(0.19)	(0.11)	(0.11)	(0.12)	(0.08)	(0.08)	(0.08)
																		
Observations	6,224	6,224	6,224	5,890	5,890	5,890	5,836	5,836	5,836	11,502	11,502	11,502	11,536	11,536	11,536	11,002	11,002	11,002
Kernel Type	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform
bandwidth	4.203	3.889	3.622	5.723	5.523	5.144	4.496	4.333	4.689	5.887	5.168	4.522	5.890	5.479	6.091	5.692	5.204	4.430
Standard errors in parentheses																		
*** p<0.01, ** p<0.05, * p<0.1																		
