	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p	resid1_tfpop_s_p
												
Conventional	1.18**	1.22**	1.21**	0.30**	0.35**	0.41**	-1.07	-0.48	-0.54	0.10	0.11	0.10
	(0.55)	(0.55)	(0.47)	(0.15)	(0.17)	(0.20)	(1.44)	(0.71)	(1.61)	(0.08)	(0.08)	(0.08)
Bias-corrected	1.30**	1.35**	1.40***	0.28*	0.34**	0.43**	-1.19	-0.61	-0.74	0.11	0.11	0.08
	(0.55)	(0.55)	(0.47)	(0.15)	(0.17)	(0.20)	(1.44)	(0.71)	(1.61)	(0.08)	(0.08)	(0.08)
Robust	1.30*	1.35**	1.40**	0.28	0.34*	0.43*	-1.19	-0.61	-0.74	0.11	0.11	0.08
	(0.67)	(0.66)	(0.59)	(0.19)	(0.20)	(0.24)	(1.44)	(0.84)	(1.81)	(0.10)	(0.09)	(0.09)
												
Observations	932	932	932	4,953	4,953	4,953	1,815	1,815	1,815	9,523	9,523	9,523
Kernel Type	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform
bandwidth	4.504	4.499	4.647	6.146	5.734	4.302	2.919	3.296	3.118	4.632	4.740	4.291
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
