	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	resid1_tfpop_s_high	resid1_tfpop_s_high	resid1_tfpop_s_high	resid1_tfpop_s_low	resid1_tfpop_s_low	resid1_tfpop_s_low	resid1_tfpop_s_high	resid1_tfpop_s_high	resid1_tfpop_s_high	resid1_tfpop_s_low	resid1_tfpop_s_low	resid1_tfpop_s_low
												
Conventional	0.56***	0.58***	0.59***	0.13	0.19	0.18	0.12	0.09	0.07	0.04	0.01	0.26
	(0.20)	(0.20)	(0.20)	(0.19)	(0.25)	(0.27)	(0.13)	(0.14)	(0.10)	(0.19)	(0.19)	(0.22)
Bias-corrected	0.58***	0.59***	0.58***	0.13	0.20	0.23	0.12	0.09	0.08	0.04	-0.01	0.29
	(0.20)	(0.20)	(0.20)	(0.19)	(0.25)	(0.27)	(0.13)	(0.14)	(0.10)	(0.19)	(0.19)	(0.22)
Robust	0.58**	0.59**	0.58**	0.13	0.20	0.23	0.12	0.09	0.08	0.04	-0.01	0.29
	(0.24)	(0.24)	(0.24)	(0.25)	(0.31)	(0.33)	(0.16)	(0.17)	(0.13)	(0.25)	(0.26)	(0.33)
												
Observations	5,305	5,305	5,305	2,450	2,450	2,450	9,382	9,382	9,382	4,739	4,739	4,739
Kernel Type	masspoints(off	masspoints(off	masspoints(off	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform	Triangular	Epanechnikov	Uniform
bandwidth	4.772	4.923	4.322	5.898	4.627	3.713	4.878	5.605	6.890	3.792	3.853	2.608
Uniform												
Epanechnikov												
Triangular												
Standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
