sample,h,estimate,se,rb_ci_low,rb_ci_high
nonpolluting,1.0,0.0636894997603387,0.10816623175841461,-0.4470230064716746,0.5584919132712315
nonpolluting,1.5,0.049718166319761975,0.10020767975022332,-0.23554745167081997,0.47462396133526435
nonpolluting,2.0,0.07985810799547982,0.12206146612385169,-0.18017217080514608,0.2520690216469938
nonpolluting,2.5,0.08669556399019501,0.12367195519981732,-0.1927082460637644,0.26492208041549337
nonpolluting,3.0,0.11679570732047512,0.12253511980610163,-0.2094707195478287,0.2920153574999218
nonpolluting,3.5,0.11050779781647738,0.11603389298337594,-0.16936606572907087,0.3484932816210079
nonpolluting,4.0,0.08494471578042437,0.1052549944298078,-0.1485985795034953,0.39417624046312627
nonpolluting,4.5,0.06803792619748525,0.09886220167640117,-0.14721640654619095,0.4069907161549713
nonpolluting,5.0,0.06438895045030969,0.09379687432654847,-0.15770394273291735,0.3823497038243825
nonpolluting,5.5,0.046974438702983644,0.08966321741417296,-0.13733701417478011,0.3772076149130537
nonpolluting,6.0,0.02894123263211531,0.08644720358510251,-0.12296800903290497,0.35882064729894214
nonpolluting,6.5,0.016139681595990434,0.08400856717687034,-0.11886242034993867,0.341747977445504
nonpolluting,7.0,0.009890528588071452,0.08166512986357827,-0.1253197889506537,0.32496965663275335
nonpolluting,7.5,0.01112863877384404,0.07990851189222052,-0.14419257566264398,0.2994028736993816
nonpolluting,8.0,0.01619056115314372,0.07852720721448293,-0.16532841170737342,0.2713068023323014
nonpolluting,8.5,0.022027646357439694,0.07661000692545665,-0.1803327949560325,0.24242826928466432
nonpolluting,9.0,0.029609298572963245,0.07491389887059419,-0.19518883590123054,0.21796391198150272
nonpolluting,9.5,0.03502523325765092,0.07315623234209588,-0.1978640780011461,0.20613332794145914
nonpolluting,10.0,0.038806546466691474,0.07151018923020674,-0.1926835190826411,0.2009325935523704
