sample,h,estimate,se,rb_ci_low,rb_ci_high
polluting,1.0,-0.24763734533229553,0.08279088297487419,-0.6957845290086648,-0.014639269915579955
polluting,1.5,-0.18259256780644692,0.10128370318206227,-0.801786921525326,-0.05015542400927819
polluting,2.0,-0.1004235231562895,0.11074726972035068,-0.5270707955580668,-0.12049613806641435
polluting,2.5,0.05363197115185364,0.15531639799777908,-0.5003048405913322,-0.09820557515945572
polluting,3.0,0.21766856814402175,0.19189712225908206,-0.4711392244694186,-0.06492329390311191
polluting,3.5,0.2838482531055127,0.19780999465284602,-0.39758145377314313,0.1436761856794061
polluting,4.0,0.32536269919759286,0.19328150633329588,-0.3288772009738875,0.3328643349913113
polluting,4.5,0.35378582548943716,0.19215581664986425,-0.2877459231297863,0.41175309398071547
polluting,5.0,0.36061967471683004,0.18526794913533512,-0.219350802824537,0.5495442118803926
polluting,5.5,0.3612782249268472,0.1721949385061374,-0.1762251148692015,0.6490419005231198
polluting,6.0,0.34316803271299484,0.15082427660615366,-0.13699915828450515,0.7213584917400416
polluting,6.5,0.32577419237211536,0.1396649219334978,-0.11176320592612699,0.7508803312660494
polluting,7.0,0.33244980698708754,0.13453408224968919,-0.09720433486213415,0.7153747825335097
polluting,7.5,0.33024698382174544,0.12907590515566336,-0.06830354485872142,0.7135155960344473
polluting,8.0,0.329784205276364,0.12570189096673026,-0.05244129712564083,0.7052637271209083
polluting,8.5,0.32454958894823693,0.12217659165340963,-0.023556159458396342,0.6933912089101233
polluting,9.0,0.31881447157527165,0.1198330459525855,-0.005425096438458676,0.6959623941934059
polluting,9.5,0.3107895062263318,0.11687498738311551,0.01578506752148967,0.6962495552615147
polluting,10.0,0.2973948024301296,0.11353279923950395,0.03896647719196111,0.7036321823504186
