sample,kernel,bwselect,p,donut,h,b,estimate_conv,se_conv,ci_conv_lo,ci_conv_hi,pvalue_conv,estimate_rbc,se_rbc,ci_rbc_lo,ci_rbc_hi,pvalue_rbc,n_left,n_right,status
polluting,triangular,mserd,1,0.0,5.634539919399895,8.552914644678328,0.36389637246050077,0.16907999764674153,0.032505666566770286,0.6952870783542313,0.031380487473233146,0.36589973383117336,0.19314303824985016,-0.012653665003175052,0.7444531326655217,0.05816537030862686,3396,2494,ok
polluting,triangular,mserd,2,0.0,4.902614769145858,6.85126501716263,0.12764255512524242,0.18693977405120885,-0.23875266929318228,0.4940377795436671,0.4947329680136142,0.06983451125115941,0.20901341570819248,-0.33982425582259623,0.47949327832491506,0.7382928036581171,3396,2494,ok
polluting,triangular,cerrd,1,0.0,3.650502879718577,8.552914644678328,0.29374671266687874,0.19365990956204615,-0.08581973532401577,0.6733131606577732,0.12931280290713465,0.2956451135879421,0.21152183101622005,-0.11893005714781651,0.7102202843237007,0.16220168245130584,3396,2494,ok
polluting,triangular,cerrd,2,0.0,2.9853318163057576,6.85126501716263,-0.26976534742683944,0.10217395507001052,-0.4700226195220737,-0.06950807533160516,0.008284354376961274,-0.283041993703276,0.24267952900756673,-0.75868513034325,0.1926011429366981,0.2434850808483484,3396,2494,ok
polluting,triangular,msetwo,1,0.0,"(4.06699061855384, 4.387018288256699)","(6.21737231511852, 7.233199933942468)",0.3413921489262401,0.18992138741353806,-0.03084693029817326,0.7136312281506534,0.07224921721388124,0.3286648709211721,0.20858516437603755,-0.08015453896522862,0.7374842808075728,0.11509802229274425,3396,2494,ok
polluting,triangular,msetwo,2,0.0,"(5.133643840971207, 5.391971278812665)","(7.435883728904275, 7.0082681923215135)",0.22116598793526324,0.20798632908438117,-0.1864797263468194,0.6288117022173458,0.2876151397078346,0.157813473484544,0.21447732879058581,-0.26255436644535984,0.5781813134144478,0.46184942738060775,3396,2494,ok
polluting,epanechnikov,mserd,1,0.0,5.892577252671945,8.416095289269341,0.36112268142399606,0.14980711511236722,0.06750613117591026,0.6547392316720819,0.015926989643628583,0.37509353370162535,0.1865720226158134,0.00941908885183862,0.7407679785514121,0.044383690301714435,3396,2494,ok
polluting,epanechnikov,mserd,2,0.0,5.590847229143671,7.260387860381213,0.3038345709815998,0.2244290994948757,-0.13603838111111294,0.7437075230743126,0.17579670132050684,0.26784045205638085,0.24487950227915367,-0.21211455296285442,0.7477954570756161,0.27405837478984163,3396,2494,ok
polluting,epanechnikov,cerrd,1,0.0,3.8176799769898735,8.416095289269341,0.37241130963529734,0.19852950118752577,-0.016699362560955056,0.7615219818315497,0.06067605654883955,0.3771606682002834,0.20813661197745514,-0.03077959513971673,0.7851009315402835,0.06997348259941598,3396,2494,ok
polluting,epanechnikov,cerrd,2,0.0,3.4044147662402082,7.260387860381213,-0.12231685299447942,0.15071175360086633,-0.4177064620990522,0.17307275611009337,0.41702426185881625,-0.12821126394096102,0.2791649096830181,-0.6753644326670535,0.4189419047851314,0.6460423565135092,3396,2494,ok
polluting,epanechnikov,msetwo,1,0.0,"(3.944754338680156, 5.594455469689148)","(6.119435544814745, 8.179818241217154)",0.3741110953432307,0.16240530119425406,0.055802554104112945,0.6924196365823485,0.021247099480826655,0.3707640700435425,0.18534469714882212,0.007495138906367493,0.7340330011807175,0.045456775286661755,3396,2494,ok
polluting,epanechnikov,msetwo,2,0.0,"(4.946377885040186, 6.187112539969067)","(7.37810934467506, 7.809833650720717)",0.33608682396131906,0.22586926078954542,-0.10660879240087495,0.7787824403235131,0.13675864199002252,0.3227461522850994,0.24962222901403994,-0.1665044263230282,0.811996730893227,0.19603238319155503,3396,2494,ok
polluting,uniform,mserd,1,0.0,5.344486227464142,8.383377232851197,0.37723999546013187,0.15284985194690054,0.07765979060192735,0.6768202003183363,0.01358540280465016,0.39802409017593976,0.18467864378790427,0.03606059963794561,0.7599875807139339,0.03114420602537009,3396,2494,ok
polluting,uniform,mserd,2,0.0,5.248636612491428,7.046521939570329,0.3587257565430607,0.23649346319982903,-0.1047929139077528,0.8222444269938742,0.12930386909946945,0.3658394400481719,0.26662819224203355,-0.15674221400923571,0.8884210941055796,0.1700335965808626,3396,2494,ok
polluting,uniform,cerrd,1,0.0,3.4625830401521114,8.383377232851197,0.40381381549096385,0.19532479598755953,0.020984250067713484,0.7866433809142142,0.038696800120196814,0.4117668560528487,0.19977867480499278,0.020207848555923336,0.803325863549774,0.03929205448471634,3396,2494,ok
polluting,uniform,cerrd,2,0.0,3.1960336696468197,7.046521939570329,-0.04063908398304042,0.20169614409068726,-0.4359562622213887,0.35467809425530783,0.8403180532166481,-0.03738352575410553,0.31225227572505637,-0.6493867402658866,0.5746196887576756,0.9047032230515819,3396,2494,ok
polluting,uniform,msetwo,1,0.0,"(5.571733052525468, 5.318938335195222)","(8.77538839493362, 8.646159258264717)",0.3536505233533456,0.150991932020016,0.057711774637994095,0.6495892720686971,0.01917138466175515,0.40015250160125704,0.1820478286592669,0.04334531396537522,0.7569596892371389,0.027944653854847668,3396,2494,ok
polluting,uniform,msetwo,2,0.0,"(4.687158222135253, 5.525678193481151)","(7.177278069804422, 7.916969190622438)",0.34112864334559057,0.22466041484828753,-0.09919767850888056,0.7814549652000617,0.12890880387764855,0.3106735756620027,0.24507942765860521,-0.1696732759005531,0.7910204272245585,0.20492495157427248,3396,2494,ok
