sample,method,estimate,se,ci_low,ci_high,h,note
polluting,rdrobust conventional (paper),0.3645140245944086,0.16696839973601132,0.03726197455553937,0.6917660746332779,"(5.723040554343252, 5.723040554343252)",cluster site_id; masspoints off bw
polluting,rdrobust robust bias-corrected,0.36083485932839726,0.1985182327418851,-0.02825372712023766,0.7499234457770322,"(5.723040554343252, 5.723040554343252)",CCT (2014) RBC CI
polluting,rdrobust native (masspoint-adjusted bw),0.36389637246050077,0.16907999764674153,-0.012653665003175052,0.7444531326655217,5.634539919399895,CI = robust
polluting,rd_honest (Armstrong-Kolesar),0.3623478979048092,0.14053710938810005,0.06121940127463921,0.6634763945349792,4.727259633080866,M=0.0271 estimated; no cluster option
polluting,donut |x|>0.1 km,0.4357354461455325,0.19081581861858607,0.037449175101430865,0.8942657022239651,5.3433288608351655,native bw; CI = robust
polluting,donut |x|>0.25 km,0.7287816457569978,0.2123510981588253,0.31702032744357106,1.2976604537887213,3.038204399211797,native bw; CI = robust
polluting,donut |x|>0.5 km,0.8059774204749613,0.23375485451996497,0.3659350433958256,1.4581590312419168,2.8553891218543797,native bw; CI = robust
polluting,donut |x|>1.0 km,0.9674670493646133,0.4097056787786229,0.09902220619991176,2.009661391359381,3.4696028898102536,native bw; CI = robust
polluting,placebo cutoff -5 km,-0.15728484766086281,0.17741409469313607,-0.549766518550888,0.25021509929841046,1.1950766838223597,same-side sample only
polluting,placebo cutoff +5 km,-0.2555257466037204,0.11622930635837879,-0.596656556877505,-0.007657823347350878,1.4711910673555035,same-side sample only
polluting,rddensity (CJM 2020) p-value,-0.0035857293843122306,,,,2.4903299246740422,p=0.546
nonpolluting,rdrobust conventional (paper),0.03351316122019204,0.08709467412786136,-0.13718926331566866,0.20421558575605275,"(5.890298108629047, 5.890298108629047)",cluster site_id; masspoints off bw
nonpolluting,rdrobust robust bias-corrected,0.0240601798953146,0.10945105471670452,-0.19045994541934907,0.23858030520997825,"(5.890298108629047, 5.890298108629047)",CCT (2014) RBC CI
nonpolluting,rdrobust native (masspoint-adjusted bw),0.03807938546170819,0.08809108558427618,-0.18117883445335714,0.23625299126108862,5.716276897259834,CI = robust
nonpolluting,rd_honest (Armstrong-Kolesar),0.11781429001017776,0.11359176559397506,-0.1335436443811319,0.36917222440148745,3.06086704705643,M=0.0559 estimated; no cluster option
nonpolluting,donut |x|>0.1 km,0.04669695909055239,0.09889341692718798,-0.1999168910550555,0.2692330106410209,5.456750636437878,native bw; CI = robust
nonpolluting,donut |x|>0.25 km,0.06173280877604394,0.13954824420361453,-0.29318603744413696,0.3832716754364557,5.498901037413666,native bw; CI = robust
nonpolluting,donut |x|>0.5 km,0.04637115322127072,0.13514179884595579,-0.29956306393404036,0.37061575472474156,4.536012146533534,native bw; CI = robust
nonpolluting,donut |x|>1.0 km,0.03976459010946162,0.20624438157100428,-0.49819741804439277,0.49084575002112196,4.842905100965171,native bw; CI = robust
nonpolluting,placebo cutoff -5 km,0.19017795967277187,0.10377665514797398,-0.05551795933189069,0.4288761021574802,2.145929070209696,same-side sample only
nonpolluting,placebo cutoff +5 km,0.025966589209765037,0.27693976488010175,-0.5017580131870807,0.5821887137441579,2.2858884546729334,same-side sample only
nonpolluting,rddensity (CJM 2020) p-value,-0.004492512356080169,,,,2.876363193014694,p=0.303
