exhibit,row,col,file,y,cond,kernel,bwselect,masspts,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r
T1,tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,tri,mserd,off,6224,4.2034206,4.2034206,6.2944636,6.2944636,.34286001,.57407665,.47403988,.702452,763,379
T1,tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,epa,mserd,off,6224,3.889122,3.889122,6.3087611,6.3087611,.36819261,.59354854,.5433172,.73440844,738,364
T1,tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,uni,mserd,off,6224,3.6220267,3.6220267,6.6844797,6.6844797,.32196811,.56096548,.43644243,.63665497,647,339
T1,tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,tri,mserd,off,11502,5.8868685,5.8868685,8.9359207,8.9359207,-.028305888,.15373804,.0019566105,.18279435,2347,1613
T1,tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,epa,mserd,off,11502,5.1682491,5.1682491,8.4076424,8.4076424,.037473768,.17673568,.079129875,.19660752,2020,1135
T1,tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,uni,mserd,off,11502,4.5216937,4.5216937,8.0694876,8.0694876,.0092949644,.18194419,-.00044953352,.1857959,1734,957
T1,resid1_tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,tri,mserd,off,5890,5.723043,5.723043,8.0057354,8.0057354,.3645139,.16696829,.36083481,.19844888,1035,615
T1,resid1_tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,epa,mserd,off,5890,5.5234289,5.5234289,7.9401383,7.9401383,.38499928,.16648875,.38989192,.20010655,998,492
T1,resid1_tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,uni,mserd,off,5890,5.144351,5.144351,7.6773605,7.6773605,.33723778,.15460585,.33659729,.19100691,922,464
T1,resid1_tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,tri,mserd,off,11536,5.8902979,5.8902979,9.1340475,9.1340475,.033513166,.087094672,.02406019,.10943634,2358,1619
T1,resid1_tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,epa,mserd,off,11536,5.478694,5.478694,9.2054682,9.2054682,.036563627,.092811808,.018249158,.11344326,2250,1263
T1,resid1_tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,uni,mserd,off,11536,6.0913253,6.0913253,9.9223204,9.9223204,-.024405964,.089554898,-.046531592,.11528918,2678,1681
T1,resid2_tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,tri,mserd,off,5836,4.4957762,4.4957762,6.2995772,6.2995772,.27460289,.14761323,.24723904,.17483301,763,352
T1,resid2_tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,epa,mserd,off,5836,4.3325024,4.3325024,6.2852001,6.2852001,.2943235,.14546156,.27316472,.17719963,728,351
T1,resid2_tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,uni,mserd,off,5836,4.6887064,4.6887064,7.0697899,7.0697899,.28996232,.13669431,.29143676,.16431147,818,354
T1,resid2_tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,tri,mserd,off,11002,5.6921039,5.6921039,8.9164524,8.9164524,.021849094,.061451368,.012351371,.075788863,2243,1228
T1,resid2_tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,epa,mserd,off,11002,5.2041135,5.2041135,8.8504944,8.8504944,.038819991,.064977601,.023345543,.077638656,2048,1091
T1,resid2_tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==0,uni,mserd,off,11002,4.4303899,4.4303899,8.2173929,8.2173929,.034943607,.069350764,.0049252515,.080261633,1653,912
T3,resid1_lrze,1,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,tri,mserd,off,5520,5.8196497,5.8196497,9.2312326,9.2312326,478.59296,470.49475,378.19122,551.75629,958,715
T3,resid1_lrze,2,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,epa,mserd,off,5520,5.2572145,5.2572145,8.7338953,8.7338953,441.17963,524.3446,343.9299,607.70667,879,412
T3,resid1_lrze,3,T3_Channels/channels_QJE_final.dta,resid1_lrze,neg_ind0==1,uni,mserd,off,5520,3.4508202,3.4508202,6.7954135,6.7954135,693.76355,595.49402,511.31226,597.06506,552,257
T3,resid1_lrze,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,tri,mserd,off,2282,7.4027824,7.4027824,11.298208,11.298208,-99.534744,386.84003,-207.19099,481.48334,623,451
T3,resid1_lrze,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,epa,mserd,off,2282,6.5641017,6.5641017,10.559286,10.559286,-131.5909,410.51483,-233.59926,510.85455,525,368
T3,resid1_lrze,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lrze,neg_ind0==1,uni,mserd,off,2282,4.6412888,4.6412888,7.9770265,7.9770265,293.73489,494.19342,250.92009,576.97504,331,166
T3,resid1_lnv,1,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,tri,mserd,off,5520,7.4272542,7.4272542,10.389091,10.389091,.045220137,.18678735,-.0071307789,.22690636,1395,1158
