exhibit,row,col,file,y,cond,kernel,bwselect,masspts,version,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r,bw_source
T1,tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,tri,mserd,off,statspai_native,6224,3.752599722107841,3.752599722107841,6.228671746285727,6.228671746285727,0.22918962692051803,0.5794005691998599,0.3332095713868579,0.6945265628965414,719,347,
T1,tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,tri,mserd,off,statspai_matched,6224,4.203420700473325,4.203420700473325,6.294463372175987,6.294463372175987,0.34286002324818377,0.5740766776818792,0.47403989800728663,0.7028237895508125,763,379,rdrobust_py_masspoints_off
T1,tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,epa,mserd,off,statspai_native,6224,3.8828763752605258,3.8828763752605258,6.679951840006447,6.679951840006447,0.36547303653158636,0.593239171601918,0.5321801405122724,0.7219557310200158,736,364,
T1,tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,epa,mserd,off,statspai_matched,6224,3.8891219234407943,3.8891219234407943,6.308761711192553,6.308761711192553,0.36819258956312595,0.5935485153188645,0.5433172136860822,0.7347922660137732,738,364,rdrobust_py_masspoints_off
T1,tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,uni,mserd,off,statspai_native,6224,4.695805229142651,4.695805229142651,7.875308327020926,7.875308327020926,0.4212072901291499,0.535599216118598,0.5775412079616267,0.6258118099226754,858,384,
T1,tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==1,uni,mserd,off,statspai_matched,6224,3.6220270873605585,3.6220270873605585,6.684480847771381,6.684480847771381,0.3219681003686894,0.5609654738936334,0.4364424482671314,0.6369264568622672,647,339,rdrobust_py_masspoints_off
T1,tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,tri,mserd,off,statspai_native,11502,4.725544996901992,4.725544996901992,8.353144657493884,8.353144657493884,0.07204289381580331,0.18833010689914106,0.11607676570460779,0.20339106155323594,1856,968,
T1,tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,tri,mserd,off,statspai_matched,11502,5.886867421522644,5.886867421522644,8.935919338909288,8.935919338909288,-0.028305786342116335,0.15373806882759705,0.0019567780447466987,0.18282029568413594,2347,1613,rdrobust_py_masspoints_off
T1,tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,epa,mserd,off,statspai_native,11502,4.843737293578675,4.843737293578675,8.307355507716672,8.307355507716672,0.06040353924659492,0.1850363565823872,0.10322704908647573,0.20186363514604905,1902,986,
T1,tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,epa,mserd,off,statspai_matched,11502,5.168246774097312,5.168246774097312,8.407640772273622,8.407640772273622,0.03747409681676395,0.1767357932956987,0.07913030354830575,0.19663744812479944,2020,1135,rdrobust_py_masspoints_off
T1,tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,uni,mserd,off,statspai_native,11502,4.213808076286273,4.213808076286273,8.470906334184479,8.470906334184479,0.01937012558874862,0.1839258139589089,-0.030396060400862623,0.1921056257155133,1664,937,
T1,tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,tfpop_s,neg_ind0==0,uni,mserd,off,statspai_matched,11502,4.521694031165699,4.521694031165699,8.069487910818808,8.069487910818808,0.009294964216161716,0.18194419697384567,-0.00044953351048881984,0.1858247634501297,1734,957,rdrobust_py_masspoints_off
T1,resid1_tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,tri,mserd,off,statspai_native,5890,5.634539919399895,5.634539919399895,8.552914644678328,8.552914644678328,0.36389637246050077,0.16907999764674153,0.36589973383117336,0.19314303824985016,1020,496,
T1,resid1_tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,tri,mserd,off,statspai_matched,5890,5.723040554343252,5.723040554343252,8.005733999834423,8.005733999834423,0.3645140245944086,0.16696839973601132,0.36083485932839726,0.1985182327418851,1035,615,rdrobust_py_masspoints_off
T1,resid1_tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,epa,mserd,off,statspai_native,5890,5.892577252671945,5.892577252671945,8.416095289269341,8.416095289269341,0.36112268142399606,0.14980711511236722,0.37509353370162535,0.1865720226158134,1053,762,
T1,resid1_tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,epa,mserd,off,statspai_matched,5890,5.52342804874685,5.52342804874685,7.94013755799635,7.94013755799635,0.38499928559463475,0.16648876552078876,0.38989190797884843,0.20018037628250096,998,492,rdrobust_py_masspoints_off
T1,resid1_tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,uni,mserd,off,statspai_native,5890,5.344486227464142,5.344486227464142,8.383377232851197,8.383377232851197,0.37723999546013187,0.15284985194690054,0.39802409017593976,0.18467864378790427,976,471,
T1,resid1_tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==1,uni,mserd,off,statspai_matched,5890,5.1443505071778715,5.1443505071778715,7.677359920693647,7.677359920693647,0.3372377859858562,0.1546058528843089,0.336597305905104,0.19107773432585057,922,464,rdrobust_py_masspoints_off
T1,resid1_tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,tri,mserd,off,statspai_native,11536,5.716276897259834,5.716276897259834,9.726619017073748,9.726619017073748,0.03807938546170819,0.08809108558427618,0.027537078403865725,0.10648966741406851,2342,1379,
T1,resid1_tfpop_s,4,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,tri,mserd,off,statspai_matched,11536,5.890298108629047,5.890298108629047,9.134047608464252,9.134047608464252,0.03351316122019204,0.08709467412786136,0.0240601798953146,0.10945105471670452,2358,1619,rdrobust_py_masspoints_off
T1,resid1_tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,epa,mserd,off,statspai_native,11536,5.863868370684025,5.863868370684025,10.200983602320111,10.200983602320111,0.021201679230577877,0.09095307481259117,0.002948441444565089,0.10984638883327309,2358,1613,
T1,resid1_tfpop_s,5,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,epa,mserd,off,statspai_matched,11536,5.478693961891476,5.478693961891476,9.2054680439923,9.2054680439923,0.036563636182644896,0.09281180720238613,0.0182491708061173,0.11345845405423872,2250,1263,rdrobust_py_masspoints_off
T1,resid1_tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,uni,mserd,off,statspai_native,11536,4.491316617103299,4.491316617103299,9.100693587834614,9.100693587834614,0.03508388537628133,0.10243550537756757,0.010105077168888352,0.11423265574415314,1741,962,
T1,resid1_tfpop_s,6,T1_Baseline/tfp_small_QJE_final.dta,resid1_tfpop_s,neg_ind0==0,uni,mserd,off,statspai_matched,11536,6.0913255710764105,6.0913255710764105,9.922320579119022,9.922320579119022,-0.02440596300497186,0.08955489553679175,-0.04653159063128115,0.11530336313051147,2678,1681,rdrobust_py_masspoints_off
T1,resid2_tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,tri,mserd,off,statspai_native,5836,3.747597942897523,3.747597942897523,6.040538442968771,6.040538442968771,0.24452982027724457,0.1555895218779577,0.21797917466043004,0.17702342941344948,688,321,
T1,resid2_tfpop_s,1,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,tri,mserd,off,statspai_matched,5836,4.495776153143799,4.495776153143799,6.29957735546736,6.29957735546736,0.2746028830105231,0.14761322541428226,0.247239039811528,0.1749363903144895,763,352,rdrobust_py_masspoints_off
T1,resid2_tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,epa,mserd,off,statspai_native,5836,3.9020900429529863,3.9020900429529863,6.002963374319793,6.002963374319793,0.27011257759920865,0.15002770050354217,0.2414059426072389,0.17745347946440113,718,338,
T1,resid2_tfpop_s,2,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,epa,mserd,off,statspai_matched,5836,4.332502274765595,4.332502274765595,6.285200245956942,6.285200245956942,0.294323517008927,0.1454615568548467,0.27316470685702365,0.17730406803102094,728,351,rdrobust_py_masspoints_off
T1,resid2_tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,uni,mserd,off,statspai_native,5836,4.921751978777028,4.921751978777028,7.195745616697156,7.195745616697156,0.32369326585875163,0.11446504472987899,0.32317548272979824,0.15281973202192228,856,432,
T1,resid2_tfpop_s,3,T1_Baseline/tfp_small_QJE_final.dta,resid2_tfpop_s,neg_ind0==1,uni,mserd,off,statspai_matched,5836,4.688706583212716,4.688706583212716,7.069790345706004,7.069790345706004,0.2899623142662297,0.13669431088728998,0.2914367760556091,0.1643806500753883,818,354,rdrobust_py_masspoints_off
