section,rc,seconds,finished
7,0,6,17 Sep 2026 01:03:51
4,0,22,17 Sep 2026 01:04:27
5,199,24,17 Sep 2026 01:04:29
13,0,2,17 Sep 2026 01:05:11
10,0,137,17 Sep 2026 01:06:44
5,0,105,17 Sep 2026 01:06:54
6,0,183,17 Sep 2026 01:09:57
11,0,417,17 Sep 2026 01:16:54
14,0,823,17 Sep 2026 01:18:54
15,0,3,17 Sep 2026 01:18:57
16,0,4,17 Sep 2026 01:19:01
12,0,155,17 Sep 2026 01:19:29
18,0,46,17 Sep 2026 01:19:47
20,0,8,17 Sep 2026 01:36:17
21,0,1767,17 Sep 2026 02:05:44
2,0,314,17 Sep 2026 02:10:58
3,199,2748,17 Sep 2026 02:21:59
14,0,864,17 Sep 2026 02:25:22
1,0,1,17 Sep 2026 02:25:23
15,0,3,17 Sep 2026 02:25:26
16,0,4,17 Sep 2026 02:25:30
3,0,5491,17 Sep 2026 04:05:46
8,0,11078,17 Sep 2026 04:08:43
19,0,12060,17 Sep 2026 04:57:11
9,0,5511,17 Sep 2026 05:40:34
