M,ci_lower,ci_upper,rejects_zero,estimator,method
0.0,-0.355059,0.253421,False,CS,smoothness
0.1,-1.353538,0.233786,False,CS,smoothness
0.25,-1.835988,0.50872,False,CS,smoothness
0.5,-2.496216,0.943885,False,CS,smoothness
0.0,-2.024197,0.000183,False,CS,relative_magnitude
0.5,-2.788605,0.764592,False,CS,relative_magnitude
1.0,-3.553014,1.529,False,CS,relative_magnitude
2.0,-5.081831,3.057817,False,CS,relative_magnitude
0.0,-1.115614,0.749564,False,SA,smoothness
0.1,-1.215614,0.849564,False,SA,smoothness
0.25,-1.365614,0.999564,False,SA,smoothness
0.5,-1.615614,1.249564,False,SA,smoothness
0.0,-1.115614,0.749564,False,SA,relative_magnitude
0.5,-1.418704,1.052654,False,SA,relative_magnitude
1.0,-1.721795,1.355745,False,SA,relative_magnitude
2.0,-2.327975,1.961925,False,SA,relative_magnitude
0.0,-0.764882,0.810732,False,BJS,smoothness
0.1,-0.864882,0.910732,False,BJS,smoothness
0.25,-1.014882,1.060732,False,BJS,smoothness
0.5,-1.264882,1.310732,False,BJS,smoothness
0.0,-0.764882,0.810732,False,BJS,relative_magnitude
0.5,-1.298383,1.344233,False,BJS,relative_magnitude
1.0,-1.831883,1.877733,False,BJS,relative_magnitude
2.0,-2.898885,2.944734,False,BJS,relative_magnitude
