ext,outcome,quantity,estimate,se_full_vcov,se_author_no_cov,N,clusters,estimator,n_post,pre_mean,se,note,p_boot,ci_boot,n_boot,first_stage_F_cluster,ci_low,ci_high
E1,n_software_cum,event time 8 (author's inter+base),10.783475031503054,2.16454841534745,3.8884163638023943,7881.0,38.0,,,,,,,,,,,
E1,n_software,event time 8 (author's inter+base),-0.2719170536625773,0.7434799562685748,0.6392262584488871,7881.0,38.0,,,,,,,,,,,
E1,n_software,"sum of flow effects, event time 0..8",-4.150888146310527,3.9430272581570183,,7881.0,38.0,,,,,,,,,,,
E1,n_software,"sum of flow effects, event time -1..8 (window of the author's cumsum)",-4.150888146310527,3.9430272581570183,,7881.0,38.0,,,,,,,,,,,
E2,,firms dropped (no untreated history),21.0,,,,,did_imputation,,,,,,,,,,
E2,,sum of flow effects 0..8 (point),2.9379513236019954,,,,,Borusyak-Jaravel-Spiess imputation,9.0,0.052805736444130176,,,,,,,,
E2,,sum over 0..8 of (effect - mean pre-period effect -8..-2),2.4626996956048237,,,,,Borusyak-Jaravel-Spiess imputation,,,,,,,,,,
E2,,sum of flow effects 0..8 (point),-4.763924109612688,,,,,"Callaway-Sant'Anna (not-yet-treated, DR)",9.0,-0.9619872642248615,,,,,,,,
E2,,sum over 0..8 of (effect - mean pre-period effect -8..-2),3.893961268411064,,,,,"Callaway-Sant'Anna (not-yet-treated, DR)",,,,,,,,,,
E2,,sum of flow effects 0..8 (point),1.0820154565948399,,,,,Sun-Abraham IW (last cohort as control),9.0,-0.43062527073174073,,,,,,,,
E2,,sum over 0..8 of (effect - mean pre-period effect -8..-2),4.957642893180507,,,,,Sun-Abraham IW (last cohort as control),,,,,,,,,,
E2,,sum of flow effects 0..8 (point),-6.5753862338510976,,,,,TWFE event study (sp.feols),9.0,-0.8333891327415175,,,,,,,,
E2,,sum over 0..8 of (effect - mean pre-period effect -8..-2),0.9251159608225594,,,,,TWFE event study (sp.feols),,,,,,,,,,
E2,,overall ATT (package aggregate),-0.33062017704751784,,,,,CS,,,0.4619276983515691,,,,,,,
E2,,overall ATT (package aggregate),0.32985703058427296,,,,,BJS,,,0.38774622436938094,,,,,,,
E2,,overall ATT (package aggregate),0.12022393962164887,,,,,SA,,,0.24014172486779312,,,,,,,
E3,,"pretrends_power (Roth 2022, individual)",0.8350141949278698,,,,,CS,,,,None,,,,,,
E3,,"pretrends_power (Roth 2022, individual)",0.47651537306924097,,,,,SA,,,,LOW POWER (0.48): the pre-trend test has less than 50% power against the hypothesised violation. A non-significant pre-trend test is therefore uninformative. Consider the sensitivity analysis in sensi,,,,,,
E3,,"pretrends_power (Roth 2022, individual)",0.4219614583167637,,,,,BJS,,,,LOW POWER (0.42): the pre-trend test has less than 50% power against the hypothesised violation. A non-significant pre-trend test is therefore uninformative. Consider the sensitivity analysis in sensi,,,,,,
E4,,Table VI col1 interaction e_32 (8q after x public security),9.993014399133088,,,,38.0,,,,3.5062684110639237,interaction only; the author's total effect adds the base-quarter coefficient,0.0021002100210021,"(np.float64(2.9418680836719195), np.float64(16.930689326982716))",9999.0,,,
E5,,"parsimonious weather IV (rain,gust,thunder x unrest elsewhere): 2SLS",0.3130985274264957,,,8392.0,323.0,,,,0.159778094896208,,,,,0.4602317285203687,,
E5,,cluster-robust Anderson-Rubin 95% set (grid -1..2 step .02),,,,,,,,,,unbounded/at grid edge,,,,,-1.0,2.0
E5,,"sp.anderson_rubin_ci (iid, FE partialled; no cluster option)",,,,,,,,,,"WeakIVConfidenceSet(method='Anderson-Rubin (AR)', level=0.95, beta_grid=array([-3.45987107e-01, -3.42699530e-01, -3.39411953e-01, -3.36124375e-01,
       -3.32836798e-01, -3.29549221e-01, -3.26261644e-01, -3.22974066e-01,
       -3.19686489e-01, -3.16398912e-01, -3.13111334e-01, -3.09823757e-01,
   ",,,,,,
