figure,term,rel_quarter_label,coef,se,N,clusters,stata_coef,stata_se
Figure II,blank_0,3 Q after,0.03652774745725875,0.005447575201274168,6777,323,0.03652774745725882,0.0054475751930096695
Figure II,blank_1,2 Q after,0.0247591305074005,0.0014639503018331402,6777,323,0.024759130507400584,0.0014639503060790346
Figure II,blank_2,1 Q after,0.10443562763159102,0.007484561172721215,6777,323,0.10443562763159112,0.007484561190764438
Figure II,blank_3,Q of unrest,0.014998085017585044,0.001685050064464415,6777,323,0.01499808501758486,0.0016850500647434105
Figure II,blank_4,1 Q before,0.01100138391961463,0.006259930008171467,6777,323,0.011001383919614683,0.006259930007531574
Figure II,blank_5,2 Q before,-0.006454690716189874,0.007838980764906812,6777,323,-0.006454690716189745,0.007838980766196975
Figure A.12,blank_0,3 Q after,0.0046878146440253125,0.0018485024119151206,6777,323,0.00468781464402532,0.0018485024130536138
Figure A.12,blank_1,2 Q after,0.0028897252125452567,0.0006033436983350185,6777,323,0.002889725212545284,0.0006033436972002411
Figure A.12,blank_2,1 Q after,0.011090821337521742,0.004512775057774479,6777,323,0.011090821337521695,0.004512775043417439
Figure A.12,blank_3,Q of unrest,0.00017397288194985784,0.002482528690864888,6777,323,0.0001739728819498313,0.0024825286898125356
Figure A.12,blank_4,1 Q before,0.003222958241916577,0.0010339706446474064,6777,323,0.003222958241916605,0.0010339706501450163
Figure A.12,blank_5,2 Q before,-0.0010315713801830183,0.00210476656816103,6777,323,-0.0010315713801830237,0.0021047665673531372
Figure A.13,blank_0,3 Q after,0.006447764441861089,0.006378703927845635,6777,323,0.00644776444186114,0.006378703923434459
Figure A.13,blank_1,2 Q after,0.011026731717103957,0.0027199683547485024,6777,323,0.011026731717104016,0.002719968357001665
Figure A.13,blank_2,1 Q after,0.050297419891302465,0.012606872767797364,6777,323,0.0502974198913023,0.012606872777996119
Figure A.13,blank_3,Q of unrest,0.01145366465651295,0.0030771592214126307,6777,323,0.011453664656512848,0.0030771592210112157
Figure A.13,blank_4,1 Q before,0.0030239507813729746,0.0014954084881076437,6777,323,0.003023950781372947,0.0014954084915356962
Figure A.13,blank_5,2 Q before,-0.010973382353268342,0.010281276136241777,6777,323,-0.010973382353268283,0.010281276136621246
