table,panel,outcome,unrest,column,event_time,coef,se,N,clusters
VI,A,ALL,event,1,-8,3.4045438902289407,3.4556723535320106,7881,38
VI,A,ALL,event,1,-7,2.3593937867230546,2.820248325890226,7881,38
VI,A,ALL,event,1,-6,1.8165306649240445,2.4234732906783423,7881,38
VI,A,ALL,event,1,-5,1.1695012946423178,1.2292743539721347,7881,38
VI,A,ALL,event,1,-4,0.7567031829119752,1.0877349245247354,7881,38
VI,A,ALL,event,1,-3,-0.033263938052608744,0.7221735738806927,7881,38
VI,A,ALL,event,1,-2,-1.1673294820910503,0.7280484323201786,7881,38
VI,A,ALL,event,1,0,1.2438025616958137,0.8536655010729679,7881,38
VI,A,ALL,event,1,1,2.621293902490544,2.484784754658361,7881,38
VI,A,ALL,event,1,2,3.2339867478706594,2.7593952612875285,7881,38
VI,A,ALL,event,1,3,4.132516268324947,3.413427868711735,7881,38
VI,A,ALL,event,1,4,5.733187559791751,4.2076270368384785,7881,38
VI,A,ALL,event,1,5,6.100239783836891,4.246731040458159,7881,38
VI,A,ALL,event,1,6,7.089518406599194,4.848707216322045,7881,38
VI,A,ALL,event,1,7,8.889169805703151,6.127360784199188,7881,38
VI,A,ALL,event,1,8,10.783475031503054,3.8884163638023943,7881,38
VI,A,ALL,event,2,-8,4.746688558619498,4.298092014782757,7881,38
VI,A,ALL,event,2,-7,3.6449034739063704,3.8606911662124452,7881,38
VI,A,ALL,event,2,-6,3.028631556070779,3.6238403246454327,7881,38
VI,A,ALL,event,2,-5,2.6761252410087737,2.2554881613007134,7881,38
VI,A,ALL,event,2,-4,2.3123925571691903,2.413849919042874,7881,38
VI,A,ALL,event,2,-3,1.5907719791960662,2.096847710871316,7881,38
VI,A,ALL,event,2,-2,0.5015837685104902,1.7574168881286765,7881,38
VI,A,ALL,event,2,0,1.5706521728509322,1.4340181142570958,7881,38
VI,A,ALL,event,2,1,3.9212343672744736,1.8927785953833405,7881,38
VI,A,ALL,event,2,2,4.829180869155565,2.1141701566641036,7881,38
VI,A,ALL,event,2,3,5.658762757138342,2.919892430201033,7881,38
VI,A,ALL,event,2,4,7.398272522566664,3.555940145607993,7881,38
VI,A,ALL,event,2,5,7.837725786710356,3.2402561488869512,7881,38
VI,A,ALL,event,2,6,8.529205490235373,3.479270959257,7881,38
VI,A,ALL,event,2,7,10.016185380646311,3.908011888040066,7881,38
VI,A,ALL,event,2,8,11.274963059204032,3.3148812853396334,7881,38
VI,A,ALL,event,3,-8,0.29930052805573304,2.330977548232626,7881,38
VI,A,ALL,event,3,-7,-0.1487917735349089,1.8319527474891537,7881,38
VI,A,ALL,event,3,-6,-0.2520721906727712,1.7040509886878732,7881,38
VI,A,ALL,event,3,-5,-0.44540091555768335,0.8840120869913842,7881,38
VI,A,ALL,event,3,-4,-0.33266197772549533,0.889059043932577,7881,38
VI,A,ALL,event,3,-3,-0.6815400129890382,0.7135927778918583,7881,38
VI,A,ALL,event,3,-2,-1.5028085415504104,0.684547533391216,7881,38
VI,A,ALL,event,3,0,1.2962797402991968,0.6923368269788922,7881,38
VI,A,ALL,event,3,1,2.7408761864465303,2.039895174859234,7881,38
VI,A,ALL,event,3,2,3.71161269047717,2.230982663365908,7881,38
VI,A,ALL,event,3,3,4.7352461720738015,2.620958223314297,7881,38
VI,A,ALL,event,3,4,6.627739735446653,3.373833925897257,7881,38
VI,A,ALL,event,3,5,7.3944863234784055,3.272978986077057,7881,38
VI,A,ALL,event,3,6,8.830338532416814,3.6574648705352972,7881,38
VI,A,ALL,event,3,7,10.929646468840382,4.7216915247047035,7881,38
VI,A,ALL,event,3,8,13.12313030317814,3.0505206674579037,7881,38
VI,A,ALL,event_hat_lasso,4,-8,1.7724495714596489,1.994998922368546,14791,81
VI,A,ALL,event_hat_lasso,4,-7,1.3012658785693916,1.502530767281726,14791,81
VI,A,ALL,event_hat_lasso,4,-6,1.132403227377811,1.355751658278568,14791,81
VI,A,ALL,event_hat_lasso,4,-5,0.39745255589247486,0.7669742671390631,14791,81
VI,A,ALL,event_hat_lasso,4,-4,0.13143928969103394,0.7027727251815387,14791,81
VI,A,ALL,event_hat_lasso,4,-3,-0.09167778777417476,0.5953449186393857,14791,81
VI,A,ALL,event_hat_lasso,4,-2,-0.8124303228830572,0.4256731590107286,14791,81
VI,A,ALL,event_hat_lasso,4,0,0.5858420125739396,1.0147834981015913,14791,81
VI,A,ALL,event_hat_lasso,4,1,1.8470412307954465,1.1863233956991994,14791,81
VI,A,ALL,event_hat_lasso,4,2,2.5957870713282514,1.3633299428978012,14791,81
VI,A,ALL,event_hat_lasso,4,3,3.1457811779611577,1.6327028264651489,14791,81
VI,A,ALL,event_hat_lasso,4,4,3.9340247150968537,2.024232856955369,14791,81
VI,A,ALL,event_hat_lasso,4,5,5.175781618856118,2.1480782798722444,14791,81
VI,A,ALL,event_hat_lasso,4,6,6.283616311120314,2.3587905900643182,14791,81
VI,A,ALL,event_hat_lasso,4,7,7.678765128504455,2.8659864356280025,14791,81
VI,A,ALL,event_hat_lasso,4,8,9.238167985443676,2.076496679274623,14791,81
VI,A,ALL,event_hat_lasso,5,-8,2.4548051656433185,2.380242951113142,14791,81
VI,A,ALL,event_hat_lasso,5,-7,1.8943869775176756,1.8160299023898194,14791,81
VI,A,ALL,event_hat_lasso,5,-6,1.5591728688070101,1.6281638083890497,14791,81
VI,A,ALL,event_hat_lasso,5,-5,0.824537964708034,0.9751931772747396,14791,81
VI,A,ALL,event_hat_lasso,5,-4,0.5590899442324132,0.9304563139757625,14791,81
VI,A,ALL,event_hat_lasso,5,-3,0.29984583339927257,0.7483261905999242,14791,81
VI,A,ALL,event_hat_lasso,5,-2,-0.39095181182434807,0.5682599439601744,14791,81
VI,A,ALL,event_hat_lasso,5,0,0.6727354119983938,1.0843431746777519,14791,81
VI,A,ALL,event_hat_lasso,5,1,1.9406529876587149,1.1115840297911683,14791,81
VI,A,ALL,event_hat_lasso,5,2,3.0903700471463265,1.2986067818743374,14791,81
VI,A,ALL,event_hat_lasso,5,3,3.703790371624239,1.6573352541305901,14791,81
VI,A,ALL,event_hat_lasso,5,4,4.524206350572206,2.049931544296517,14791,81
VI,A,ALL,event_hat_lasso,5,5,5.693377238706366,2.1247814389717,14791,81
VI,A,ALL,event_hat_lasso,5,6,6.714514185495559,2.366433970418878,14791,81
VI,A,ALL,event_hat_lasso,5,7,8.096101418301338,2.8460353329481234,14791,81
VI,A,ALL,event_hat_lasso,5,8,9.672939244181716,2.0713261857731413,14791,81
VI,A,ALL,event_hat_lasso,6,-8,-0.21038202321743024,1.6772648652164843,14791,81
VI,A,ALL,event_hat_lasso,6,-7,-0.3393225524271341,1.1994764752674836,14791,81
VI,A,ALL,event_hat_lasso,6,-6,-0.2516215197472005,1.1524290512329225,14791,81
VI,A,ALL,event_hat_lasso,6,-5,-0.7447532381270261,0.6524409639683477,14791,81
VI,A,ALL,event_hat_lasso,6,-4,-0.7109303035182483,0.6305791104308252,14791,81
VI,A,ALL,event_hat_lasso,6,-3,-0.6360397200651233,0.5787774285680287,14791,81
VI,A,ALL,event_hat_lasso,6,-2,-1.0847426767022619,0.4248569931206986,14791,81
VI,A,ALL,event_hat_lasso,6,0,0.8220766305288479,0.9495626334362264,14791,81
VI,A,ALL,event_hat_lasso,6,1,2.1717803571681555,1.0247415811822966,14791,81
VI,A,ALL,event_hat_lasso,6,2,3.221959372336629,1.1937582375529214,14791,81
