table,panel,outcome,unrest,column,event_time,term,coef,se
VII,A,ALL,event,1,-8,base,4.778861491042649,3.055655085745769
VII,A,ALL,event,1,-8,public security,-1.4850117663008282,1.0411711699288688
VII,A,ALL,event,1,-7,base,3.9534830658838,2.6939995131256333
VII,A,ALL,event,1,-7,public security,-1.6982511494480783,1.0312631865518058
VII,A,ALL,event,1,-6,base,3.242655499876629,2.284917703614721
VII,A,ALL,event,1,-6,public security,-1.5339799532558378,0.9773103070739064
VII,A,ALL,event,1,-5,base,1.1436768704340878,1.085728110384626
VII,A,ALL,event,1,-5,public security,-0.10771094316349375,0.5771396995089438
VII,A,ALL,event,1,-4,base,0.6152915800268142,0.8674629889084378
VII,A,ALL,event,1,-4,public security,0.016507010114952095,0.5931860313959626
VII,A,ALL,event,1,-3,base,0.1781387810453311,0.46489748994459223
VII,A,ALL,event,1,-3,public security,-0.1935806755432021,0.5804573683489365
VII,A,ALL,event,1,-2,base,-0.4840909667251372,0.22693913754255385
VII,A,ALL,event,1,-2,public security,-0.8185220081087579,0.5186997801191046
VII,A,ALL,event,1,0,base,-0.9331932036751136,1.199835994604002
VII,A,ALL,event,1,0,public security,2.0834887739439947,1.3819712640694248
VII,A,ALL,event,1,1,base,-1.1288021146271991,1.3840708576433491
VII,A,ALL,event,1,1,public security,3.7795685250498043,1.8102620702368666
VII,A,ALL,event,1,2,base,-1.3140836128338362,1.6066095394754634
VII,A,ALL,event,1,2,public security,4.5973182008147395,1.856954628807798
VII,A,ALL,event,1,3,base,-1.7456890577286586,2.021600367963128
VII,A,ALL,event,1,3,public security,5.777546865090345,2.3211679766347935
VII,A,ALL,event,1,4,base,-1.4269203345032555,2.3440178346251015
VII,A,ALL,event,1,4,public security,7.182300078583325,3.1701816766291797
VII,A,ALL,event,1,5,base,-1.456001250724832,2.491128586238325
VII,A,ALL,event,1,5,public security,7.601132784972635,3.0313240034613402
VII,A,ALL,event,1,6,base,-1.1309948475524636,3.0076155580871946
VII,A,ALL,event,1,6,public security,8.291053934739434,3.413027049500053
VII,A,ALL,event,1,7,base,-1.202436885674699,3.395933847474967
VII,A,ALL,event,1,7,public security,10.33976121449029,4.587433472470656
VII,A,ALL,event,1,8,base,1.0137030261112372,1.5510775811909476
VII,A,ALL,event,1,8,public security,9.751283028923618,3.2899000662989817
VII,A,ALL,event,2,-8,base,3.3827847545376137,2.071686527678741
VII,A,ALL,event,2,-8,public security,-1.5573921465961766,1.4400173558185951
VII,A,ALL,event,2,-7,base,2.769395765804241,1.8692103608956117
VII,A,ALL,event,2,-7,public security,-1.5592357354969073,1.243406413103365
VII,A,ALL,event,2,-6,base,2.4707034293301304,1.7279465422443965
VII,A,ALL,event,2,-6,public security,-1.5128735832632498,1.2938702198177634
VII,A,ALL,event,2,-5,base,0.7146976088561944,0.7651578949459004
VII,A,ALL,event,2,-5,public security,-0.48085198276132013,1.3783408265875703
VII,A,ALL,event,2,-4,base,0.4936020196774721,0.7236383407631579
VII,A,ALL,event,2,-4,public security,-0.5872947998734939,1.271711166422783
VII,A,ALL,event,2,-3,base,-0.013458196158079645,0.40177495330593005
VII,A,ALL,event,2,-3,public security,-0.42926217089040286,1.0711903153167757
