table,panel,column,term,coef,se,N,clusters,n_candidate_z,n_selected_z_lasso_cv,n_selected_z_rlasso_plugin,rlasso_iv_coef,rlasso_iv_se,estimator
II,B (LASSO IV),1,Unrest events_{t-1},0.2477325331817536,0.026289517848454746,8418,324,340,340,0,0.3331558710440698,825388282521579.5,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
II,B (LASSO IV),2,Unrest events_{t-1},0.24519052544271178,0.030424226703061115,8418,324,340,340,0,0.9671437621366274,22450740939.22097,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
II,B (LASSO IV),3,Unrest events_{t-1},0.24765092181516438,0.02727947747612687,8418,324,340,340,0,0.5692118459646135,666961454916852.2,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
II,B (LASSO IV),4,Unrest events_{t-1},0.2642573817392247,0.025618040261506214,8418,324,340,340,0,0.0,796425516234782.9,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
II,B (LASSO IV),5,Unrest events_{t-1},0.26064739559172484,0.028124874574795403,8418,324,340,340,0,0.46641318124207853,485205311114032.0,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"B (LASSO IV, cameras)",1,Unrest events_{t-1},0.7369470153536873,0.21398055713093828,8418,324,34,34,0,-9.97627922738055,3.8069488683089064e+16,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"B (LASSO IV, cameras)",2,Unrest events_{t-1},0.6951767650882914,0.17193104998524977,8418,324,34,34,0,-0.9559859282222943,77763182959.4883,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"B (LASSO IV, cameras)",3,Unrest events_{t-1},0.7214612931060149,0.19391211007765585,8418,324,34,34,0,-8.060310421286031,3.1475357694123324e+16,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"B (LASSO IV, cameras)",4,Unrest events_{t-1},0.7366029372126489,0.20924189827132697,8418,324,34,34,0,3.1367700629208524,3006534650830060.0,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"B (LASSO IV, cameras)",5,Unrest events_{t-1},0.7238058808414938,0.20464563987622006,8418,324,34,34,0,4.605341246290801,5601747054889699.0,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"D (LASSO IV, AI x cameras)",1,Unrest events_{t-1},0.8983432521380851,0.07607908585021053,8418,324,34,34,0,-1.3369172874587207,3982877438802847.5,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"D (LASSO IV, AI x cameras)",2,Unrest events_{t-1},0.8715395343564656,0.049366870321617046,8418,324,34,34,0,2.2124107714139325,65754217811.70088,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"D (LASSO IV, AI x cameras)",3,Unrest events_{t-1},0.8879912774790432,0.06472558972581358,8418,324,34,34,0,37.8698224852071,1.879648241596968e+18,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"D (LASSO IV, AI x cameras)",4,Unrest events_{t-1},0.9040004994242767,0.08065079833694425,8418,324,34,34,0,0.23553224767687922,1139218624198759.2,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
III,"D (LASSO IV, AI x cameras)",5,Unrest events_{t-1},0.8957501822597457,0.09876618611447237,8418,324,34,34,0,0.720173535791757,697204699506199.9,"APPROX: FWL partial-out (FE+controls) + sp.lasso_iv(penalty='cv', cluster=place)"
