table,panel,column,term,coef,se,N,clusters,estimator
II,A (OLS),1,Unrest events_{t-1},0.19948367600564962,0.04342633483206719,8392,323,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
II,A (OLS),2,Unrest events_{t-1},0.19564420615148417,0.04572427260106109,8392,323,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
II,A (OLS),3,Unrest events_{t-1},0.19904382661958206,0.04396298665382779,8392,323,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
II,A (OLS),4,Unrest events_{t-1},0.2042850857796669,0.045693818846600974,8392,323,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
II,A (OLS),5,Unrest events_{t-1},0.20456215018146487,0.04375991237629232,8392,323,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"A (OLS, cameras)",1,Unrest events_{t-1},0.435620922296588,0.08428984325120524,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"A (OLS, cameras)",2,Unrest events_{t-1},0.4203650127737494,0.08345596027788135,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"A (OLS, cameras)",3,Unrest events_{t-1},0.43568735004677595,0.08499631421954358,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"A (OLS, cameras)",4,Unrest events_{t-1},0.42504935226221247,0.07966245604200994,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"A (OLS, cameras)",5,Unrest events_{t-1},0.42504935226221247,0.07966245604200994,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"C (OLS, AI x cameras)",1,Unrest events_{t-1},0.680600841757222,0.15363173334151314,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"C (OLS, AI x cameras)",2,Unrest events_{t-1},0.6693215874938143,0.15739633493824137,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"C (OLS, AI x cameras)",3,Unrest events_{t-1},0.6800034663520605,0.1547954852060471,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"C (OLS, AI x cameras)",4,Unrest events_{t-1},0.6706320629665732,0.14780359360376183,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
III,"C (OLS, AI x cameras)",5,Unrest events_{t-1},0.6706320629665732,0.14780359360376183,8418,324,"sp.feols HDFE OLS, CRV1(place) x ivreghdfe small"
