table,panel,column,term,coef,se,N,clusters,estimator
IV,A,1,Conducive weather,0.9176115826908346,0.1608882313550153,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,1,Stock_{t-1},-0.00795534470332523,0.003905383429021195,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,1,Conducive weather x stock_{t-1},-0.22650553896171952,0.11527967333683194,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,2,Conducive weather,0.9523034012657644,0.15970007408760917,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,2,Stock_{t-1},-0.0032454922181024285,0.00504245963179712,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,2,Conducive weather x stock_{t-1},-0.27290186638772135,0.13061733071881443,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,3,Conducive weather,0.9183379181219498,0.1612905679237927,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,3,Stock_{t-1},-0.007897932267810407,0.0038430992908122224,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,3,Conducive weather x stock_{t-1},-0.22596612080285491,0.11556452497951188,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,4,Conducive weather,0.9510504620938893,0.15424421031259145,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,4,Stock_{t-1},-0.0019981830985074463,0.004984048795251528,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,A,4,Conducive weather x stock_{t-1},-0.2662213888201932,0.12499621533534107,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,1,Conducive weather,0.9377870709322175,0.16778429737033937,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,1,Stock_{t-1},-0.0020749876222175196,0.0011986357404862914,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,1,Conducive weather x stock_{t-1},-0.04412388487991877,0.029912060712849162,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,2,Conducive weather,0.9768292515253568,0.1665970714049844,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,2,Stock_{t-1},-0.0021718983372287356,0.0014170832707815003,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,2,Conducive weather x stock_{t-1},-0.051302564881455605,0.03381757522177299,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,3,Conducive weather,0.9385228116921759,0.16816728391003408,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,3,Stock_{t-1},-0.0020674744804923253,0.0011895353072567522,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,3,Conducive weather x stock_{t-1},-0.044417683007546414,0.03046607689564626,6996,318,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,4,Conducive weather,0.9747161994451772,0.16081445224869714,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,4,Stock_{t-1},-0.0019322082716665236,0.0012341817235546051,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,A,4,Conducive weather x stock_{t-1},-0.04734196546838568,0.030057256301266246,6842,311,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,1,Conducive weather,0.9112958185795442,0.15844212655785922,6204,317,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,1,Stock_{t-1},0.2462419414769136,0.10738856411234331,6204,317,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,1,Conducive weather x stock_{t-1},-0.5687920539351674,0.22807819370764465,6204,317,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,2,Conducive weather,0.9446143123784525,0.15598044364087263,6053,310,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,2,Stock_{t-1},0.2734460668139321,0.09965843659412818,6053,310,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,2,Conducive weather x stock_{t-1},-0.6597677383750918,0.24009735338458343,6053,310,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,3,Conducive weather,0.9117602548123911,0.15871468634675226,6204,317,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,3,Stock_{t-1},0.24554179194358094,0.10725727534178431,6204,317,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,3,Conducive weather x stock_{t-1},-0.573471067217868,0.23039571252918886,6204,317,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,4,Conducive weather,0.9449159887826748,0.15164622186785665,6053,310,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,4,Stock_{t-1},0.26375210145330963,0.09445445847577484,6053,310,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
IV,B,4,Conducive weather x stock_{t-1},-0.6402774053141742,0.22288758355211513,6053,310,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,1,Conducive weather,0.9769979069588327,0.16596231407019038,5645,288,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,1,Stock_{t-1},0.00020536354068125288,0.06714421681765533,5645,288,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,1,Conducive weather x stock_{t-1},-0.011029441044616825,0.0186731818900371,5645,288,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,2,Conducive weather,0.9813426976365909,0.1710735008225808,5145,267,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,2,Stock_{t-1},-0.0005620298758029946,0.07062940891139712,5145,267,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,2,Conducive weather x stock_{t-1},-0.011443410081918962,0.01954806860800281,5145,267,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,3,Conducive weather,0.9777229307222267,0.1663588319482506,5645,288,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,3,Stock_{t-1},0.0038375816503151083,0.06838307588486568,5645,288,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,3,Conducive weather x stock_{t-1},-0.01197840527364369,0.018848922834443987,5645,288,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,4,Conducive weather,0.9797875279895596,0.1655507188176451,5145,267,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,4,Stock_{t-1},0.0012798757729005172,0.06637605929511632,5145,267,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
V,B,4,Conducive weather x stock_{t-1},-0.011382773299184266,0.0185737742805725,5145,267,"sp.feols (HDFE, CRV1 x ivreghdfe small)"
