table,panel,outcome,unrest,column,term,coef,se,N,clusters,omitted,estimator
VI,A,ALL,event,1,8 quarters after contract,10.783475031503054,3.8884163638023943,7881,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,A,ALL,event,2,8 quarters after contract,11.274963059204032,3.3148812853396334,7881,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,A,ALL,event,3,8 quarters after contract,13.12313030317814,3.0505206674579037,7881,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,A,ALL,event_hat_lasso,4,8 quarters after contract,9.238167985443676,2.076496679274623,14791,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,A,ALL,event_hat_lasso,5,8 quarters after contract,9.672939244181716,2.0713261857731413,14791,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,A,ALL,event_hat_lasso,6,8 quarters after contract,11.105314597068986,1.9261354681056617,14791,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,B,GOVERNMENT,event,1,8 quarters after contract,3.4807424340871327,1.4945175927519478,7494,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,B,GOVERNMENT,event,2,8 quarters after contract,3.5922122825828553,1.3809224240368574,7494,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,B,GOVERNMENT,event,3,8 quarters after contract,4.1957558269343656,1.3604141642222491,7494,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,B,GOVERNMENT,event_hat_lasso,4,8 quarters after contract,3.1050497055019752,0.9129537977195464,14061,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,B,GOVERNMENT,event_hat_lasso,5,8 quarters after contract,3.1739223610756593,0.9093402795427185,14061,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,B,GOVERNMENT,event_hat_lasso,6,8 quarters after contract,3.7530336345607367,0.9464005214056954,14061,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,C,BUSINESS,event,1,8 quarters after contract,5.071353793303135,2.281730682618163,7516,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,C,BUSINESS,event,2,8 quarters after contract,5.314368277779085,1.9237339746659532,7516,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,C,BUSINESS,event,3,8 quarters after contract,5.964295407458968,1.7905944355057433,7516,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,C,BUSINESS,event_hat_lasso,4,8 quarters after contract,3.7598600594916385,1.1403143987511832,14136,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,C,BUSINESS,event_hat_lasso,5,8 quarters after contract,3.8970257341287033,1.1491653236889956,14136,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VI,C,BUSINESS,event_hat_lasso,6,8 quarters after contract,4.396816684030292,0.9636168075355894,14136,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm FE, CRV1 place, reghdfe small) + addQuarterInter"
VII,A,ALL,event,1,8 quarters before contract,4.778861491042649,3.055655085745769,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,1,8 quarters before contract x public security,-1.4850117663008282,1.0411711699288688,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,1,8 quarters after contract,1.0137030261112372,1.5510775811909476,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,1,8 quarters after contract x public security,9.751283028923618,3.2899000662989817,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,2,8 quarters before contract,3.3827847545376137,2.071686527678741,4548,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,2,8 quarters before contract x public security,-1.5573921465961766,1.4400173558185951,4548,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,2,8 quarters after contract,4.520727428709344,1.888097089122271,4548,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,2,8 quarters after contract x public security,4.051938011401638,3.6895492749447016,4548,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,3,8 quarters before contract,0.3259870976313905,1.113834279598085,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,3,8 quarters before contract x public security,-1.603937912102871,1.0592985268239425,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,3,8 quarters after contract,6.311304634295677,1.6918809792860843,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event,3,8 quarters after contract x public security,7.9628598621517925,2.4502517221274993,7883,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,4,8 quarters before contract,1.5285183553970665,1.5406996378576538,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,4,8 quarters before contract x public security,0.22827166215858755,1.265732313013228,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,4,8 quarters after contract,1.8096216548720898,1.0173719666913914,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,4,8 quarters after contract x public security,7.445262431308337,1.8242587769696557,14792,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,5,8 quarters before contract,0.5760877227899469,1.5238679623629445,9806,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,5,8 quarters before contract x public security,0.43375355081476663,1.472161234063441,9806,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,5,8 quarters after contract,3.9636481822401928,1.313020482707627,9806,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,A,ALL,event_hat_lasso,5,8 quarters after contract x public security,4.054393291677894,1.689047264558374,9806,75,semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
