	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1
										
Zeng_all0_invdist_Post	0.214***	0.201***	0.212***	0.213***						
	(0.054)	(0.062)	(0.065)	(0.064)						
Zeng_all0_invdist_pc_Post					0.061***	0.056**				
					(0.021)	(0.023)				
Zeng_all0_Post							0.146***	0.147***		
							(0.038)	(0.046)		
Zeng_all0_pc_Post									0.047***	0.044**
									(0.016)	(0.017)
										
Observations	1,125	1,125	1,125	1,125	1,125	1,125	1,125	1,125	1,125	1,125
R-squared	0.037	0.063	0.081	0.082	0.027	0.077	0.037	0.081	0.032	0.078
Standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
