	(1)	(2)	(3)	(4)	(5)
VARIABLES	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyrs_battle1	lnmartyrs_battle1
					
Zeng_all0_invdist_Post	0.533***	0.524***	0.560***		
	(0.129)	(0.163)	(0.145)		
ZengXlnquotasXPost	-0.904***		-0.819**		
	(0.254)		(0.325)		
ZengXlnhhXPost	0.067	0.112	0.101		
	(0.072)	(0.129)	(0.091)		
ZengXlnjinshiXPost		-0.153*	-0.037		
		(0.080)	(0.076)		
Zeng_all0_invdist_P				0.034**	0.034**
				(0.014)	(0.014)
					
Observations	1,110	1,110	1,110	52,050	52,050
R-squared	0.674	0.671	0.674	0.196	0.206
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
