	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	alloff	alloffd	alloff	alloff	alloff	inflate	/
							
hXZeng_all0_invdistXperiod	0.049***	0.008**	0.790***	0.049***	0.286***		
	(0.013)	(0.004)	(0.164)	(0.013)	(0.068)		
Zeng_all0_invdistXperiod	0.011	-0.002	0.021	0.011	-0.000		
	(0.011)	(0.002)	(0.016)	(0.011)	(0.010)		
							
Observations	149,786	149,786	7,263	149,786	149,786	149,786	149,786
R-squared	0.384	0.321	0.399	0.130			
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
