	(1)	(2)	(3)	(4)
VARIABLES	lnmartyr1	lnmartyr1	lnmartyr1	lnmartyr1
				
Zeng_all0_invdist_yr1850	-0.002			
	(0.052)			
Zeng_all0_invdist_yr1851	-0.016			
	(0.049)			
Zeng_all0_invdist_yr1852	0.030			
	(0.084)			
Zeng_all0_invdist_yr1854	0.287***			
	(0.088)			
Zeng_all0_invdist_yr1855	0.232**			
	(0.108)			
Zeng_all0_invdist_yr1856	0.156			
	(0.118)			
Zeng_all0_invdist_yr1857	0.283***			
	(0.087)			
Zeng_all0_invdist_yr1858	0.313***			
	(0.086)			
Zeng_all0_invdist_yr1859	0.255***			
	(0.084)			
Zeng_all0_invdist_yr1860	0.240***			
	(0.087)			
Zeng_all0_invdist_yr1861	0.242***			
	(0.080)			
Zeng_all0_invdist_yr1862	0.288***			
	(0.083)			
Zeng_all0_invdist_yr1863	0.296***			
	(0.086)			
Zeng_all0_invdist_yr1864	0.313***			
	(0.086)			
Zeng_all0_yr1850		0.010		
		(0.034)		
Zeng_all0_yr1851		-0.001		
		(0.031)		
Zeng_all0_yr1852		0.026		
		(0.057)		
Zeng_all0_yr1854		0.212***		
		(0.062)		
Zeng_all0_yr1855		0.163**		
		(0.078)		
Zeng_all0_yr1856		0.115		
		(0.085)		
Zeng_all0_yr1857		0.207***		
		(0.061)		
Zeng_all0_yr1858		0.215***		
		(0.061)		
Zeng_all0_yr1859		0.193***		
		(0.058)		
Zeng_all0_yr1860		0.188***		
		(0.060)		
Zeng_all0_yr1861		0.178***		
		(0.058)		
Zeng_all0_yr1862		0.201***		
		(0.058)		
Zeng_all0_yr1863		0.207***		
		(0.064)		
Zeng_all0_yr1864		0.216***		
		(0.070)		
Zeng_all0_invdist_pc_yr1850			0.005	
			(0.017)	
Zeng_all0_invdist_pc_yr1851			-0.006	
			(0.016)	
Zeng_all0_invdist_pc_yr1852			0.003	
			(0.035)	
Zeng_all0_invdist_pc_yr1854			0.095***	
			(0.032)	
Zeng_all0_invdist_pc_yr1855			0.070**	
			(0.034)	
Zeng_all0_invdist_pc_yr1856			0.039	
			(0.037)	
Zeng_all0_invdist_pc_yr1857			0.094***	
			(0.032)	
Zeng_all0_invdist_pc_yr1858			0.094***	
			(0.031)	
Zeng_all0_invdist_pc_yr1859			0.072**	
			(0.031)	
Zeng_all0_invdist_pc_yr1860			0.094***	
			(0.030)	
Zeng_all0_invdist_pc_yr1861			0.089***	
			(0.031)	
Zeng_all0_invdist_pc_yr1862			0.118***	
			(0.031)	
Zeng_all0_invdist_pc_yr1863			0.107***	
			(0.030)	
Zeng_all0_invdist_pc_yr1864			0.104***	
			(0.035)	
Zeng_all0_pc_yr1850				0.007
				(0.013)
Zeng_all0_pc_yr1851				-0.000
				(0.011)
Zeng_all0_pc_yr1852				0.007
				(0.023)
Zeng_all0_pc_yr1854				0.070***
				(0.024)
Zeng_all0_pc_yr1855				0.051**
				(0.025)
Zeng_all0_pc_yr1856				0.033
				(0.029)
Zeng_all0_pc_yr1857				0.072***
				(0.025)
Zeng_all0_pc_yr1858				0.069***
				(0.023)
Zeng_all0_pc_yr1859				0.063***
				(0.021)
Zeng_all0_pc_yr1860				0.075***
				(0.027)
Zeng_all0_pc_yr1861				0.065**
				(0.026)
Zeng_all0_pc_yr1862				0.079***
				(0.026)
Zeng_all0_pc_yr1863				0.075***
				(0.027)
Zeng_all0_pc_yr1864				0.071**
				(0.031)
				
Observations	1125	1125	1125	1125
R-squared	0.671	0.670	0.674	0.672
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
