	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	missingratio	missingratio	missingratio	missingratio	missingratio	missingratio	missingratio	missingratio
								
Zeng_all0_invdist_Post	0.003	-0.002	0.014	0.010				
	(0.005)	(0.005)	(0.013)	(0.013)				
lntotmartyr_withmissing		0.029**		0.022		0.029**		0.023
		(0.014)		(0.018)		(0.014)		(0.018)
Zeng_all0_Post					0.002	-0.002	0.009	0.007
					(0.004)	(0.003)	(0.009)	(0.008)
								
Observations	73	73	73	73	73	73	73	73
R-squared	0.191	0.246	0.272	0.298	0.190	0.246	0.270	0.297
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
