	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	alloff	alloff	alloff	alloff	alloff	alloff
						
martyrs_tot_postXperiod		0.414***		0.433***		0.395***
		(0.102)		(0.097)		(0.107)
hXZeng_all0_invdistXperiod	0.081***	0.022	0.072**	0.012	0.100**	0.042
	(0.024)	(0.025)	(0.031)	(0.029)	(0.038)	(0.041)
Zeng_all0_invdistXperiod	-0.019	-0.021	-0.014	-0.019	-0.028	-0.029
	(0.021)	(0.021)	(0.030)	(0.029)	(0.033)	(0.034)
hunanXperiod	0.011	-0.061	0.040	-0.024	0.093	-0.190
	(0.058)	(0.041)	(0.057)	(0.042)	(0.260)	(0.301)
						
Observations	43,225	43,225	31,122	31,122	18,928	18,928
R-squared	0.379	0.397	0.311	0.365	0.396	0.414
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
