	hunanXconnect				
Year	1	2	3	4	Total
	Mean alloff	Mean alloff	Mean alloff	Mean alloff	Mean alloff
1820	0.018	0.000	0.169	0.053	0.080
1821	0.019	0.000	0.196	0.158	0.094
1822	0.021	0.000	0.224	0.289	0.109
1823	0.014	0.000	0.154	0.184	0.075
1824	0.020	0.000	0.134	0.158	0.069
1825	0.021	0.027	0.166	0.132	0.083
1826	0.017	0.054	0.137	0.105	0.069
1827	0.014	0.000	0.134	0.132	0.066
1828	0.013	0.000	0.160	0.184	0.077
1829	0.013	0.000	0.125	0.079	0.060
1830	0.016	0.000	0.146	0.132	0.071
1831	0.017	0.000	0.200	0.158	0.094
1832	0.022	0.000	0.213	0.079	0.101
1833	0.016	0.000	0.187	0.158	0.088
1834	0.011	0.000	0.197	0.158	0.090
1835	0.012	0.000	0.209	0.158	0.095
1836	0.016	0.000	0.185	0.053	0.085
1837	0.028	0.000	0.188	0.053	0.093
1838	0.028	0.000	0.172	0.053	0.086
1839	0.033	0.000	0.197	0.158	0.102
1840	0.037	0.000	0.216	0.105	0.111
1841	0.020	0.000	0.178	0.132	0.086
1842	0.021	0.000	0.160	0.079	0.078
1843	0.023	0.000	0.225	0.105	0.107
1844	0.020	0.000	0.197	0.132	0.094
1845	0.017	0.000	0.181	0.105	0.085
1846	0.011	0.000	0.210	0.105	0.094
1847	0.016	0.000	0.182	0.158	0.086
1848	0.011	0.000	0.188	0.132	0.086
1849	0.012	0.000	0.243	0.263	0.112
1850	0.013	0.000	0.173	0.105	0.080
1851	0.014	0.027	0.182	0.105	0.085
1852	0.011	0.027	0.222	0.289	0.104
1853	0.013	0.081	0.191	0.184	0.091
1854	0.008	0.081	0.182	0.158	0.084
1855	0.012	0.054	0.161	0.158	0.077
1856	0.007	0.054	0.155	0.132	0.071
1857	0.004	0.054	0.127	0.132	0.058
1858	0.010	0.054	0.161	0.079	0.074
1859	0.013	0.027	0.170	0.158	0.081
1860	0.013	0.000	0.181	0.211	0.086
1861	0.016	0.000	0.158	0.474	0.084
1862	0.016	0.000	0.191	0.684	0.102
1863	0.020	0.000	0.187	0.737	0.104
1864	0.020	0.054	0.181	0.605	0.100
1865	0.016	0.081	0.157	0.605	0.088
1866	0.020	0.081	0.163	0.711	0.095
1867	0.023	0.054	0.201	0.632	0.111
1868	0.019	0.027	0.163	0.605	0.091
1869	0.016	0.027	0.145	0.474	0.079
1870	0.024	0.027	0.182	0.395	0.097
1871	0.017	0.027	0.157	0.342	0.081
1872	0.020	0.027	0.131	0.342	0.073
1873	0.023	0.000	0.158	0.316	0.084
1874	0.018	0.000	0.128	0.368	0.070
1875	0.028	0.000	0.160	0.605	0.094
1876	0.030	0.000	0.181	0.447	0.100
1877	0.016	0.000	0.139	0.421	0.075
1878	0.016	0.000	0.145	0.553	0.080
1879	0.024	0.000	0.203	0.605	0.110
1880	0.020	0.027	0.130	0.553	0.077
1881	0.028	0.027	0.164	0.737	0.100
1882	0.031	0.054	0.194	0.526	0.109
1883	0.027	0.054	0.182	0.579	0.103
1884	0.026	0.054	0.173	0.632	0.100
1885	0.040	0.135	0.215	0.579	0.126
1886	0.020	0.081	0.187	0.500	0.100
1887	0.019	0.081	0.148	0.553	0.085
1888	0.031	0.054	0.185	0.632	0.108
1889	0.033	0.081	0.207	0.526	0.117
1890	0.019	0.081	0.184	0.474	0.098
1891	0.023	0.081	0.200	0.395	0.105
1892	0.020	0.081	0.158	0.368	0.086
1893	0.017	0.081	0.179	0.421	0.094
1894	0.028	0.027	0.210	0.447	0.112
1895	0.031	0.027	0.179	0.526	0.103
1896	0.018	0.000	0.142	0.342	0.075
1897	0.019	0.000	0.191	0.368	0.097
1898	0.032	0.000	0.173	0.368	0.097
1899	0.026	0.000	0.130	0.316	0.074
1900	0.037	0.000	0.206	0.368	0.112
1901	0.040	0.000	0.207	0.316	0.114
1902	0.044	0.000	0.149	0.368	0.094
1903	0.058	0.000	0.201	0.316	0.121
1904	0.043	0.000	0.121	0.263	0.079
1905	0.046	0.000	0.158	0.211	0.094
1906	0.061	0.000	0.269	0.211	0.148
1907	0.059	0.000	0.243	0.237	0.137
1908	0.053	0.027	0.233	0.316	0.132
1909	0.054	0.027	0.206	0.237	0.120
1910	0.051	0.000	0.231	0.211	0.127
Total	0.023	0.022	0.179	0.313	0.093

