step,rc,seconds
Table_1,0,      0.1
Appendix_Table_A3,0,      0.7
Figure_3,0,      1.3
Appendix_Figure_A5,0,      1.1
Table_2,0,      0.5
Appendix_Table_B1_I,0,      0.1
Appendix_Table_B1_II,0,      0.1
Appendix_Table_B1_III,0,      3.5
Appendix_Table_B1_IV,0,      1.2
Appendix_Table_B2,0,      0.2
Table_3,0,      4.0
Table_4,0,      1.8
Figure_4,0,      5.1
Appendix_Table_B4,0,      1.1
Appendix_Table_B5_I,0,      0.5
Appendix_Table_B5_II,0,      0.4
Appendix_Table_B6_I,0,      1.6
Appendix_Table_B6_II,0,      0.2
Table_5,0,      5.7
Figure_5,0,     48.6
Table_6,0,     67.5
Figure_6,0,    216.2
Appendix_Figure_C1,0,    109.2
Appendix_Table_C2,0,      7.1
Appendix_Table_C3,0,      7.3
Figure_7,0,      2.0
Appendix_Table_C4,0,    163.8
Appendix_Table_C5,0,      5.1
Appendix_Table_C6,0,     14.6
Appendix_Table_C7,0,      0.3
Figure_8,0,      3.3
