spec,cutoff_km,spatial_kernel,coef,conley_se,stata_reg2hdfespatial_se
"(1) weighted, no controls",50,bartlett,0.21356188250345934,0.05539275189156885,0.055
"(1) weighted, no controls",50,uniform,0.21356188250345934,0.05923025644245735,
"(1) weighted, no controls",100,bartlett,0.21356188250345934,0.05691122501447462,0.057
"(1) weighted, no controls",100,uniform,0.21356188250345934,0.0549682145351862,
"(1) weighted, no controls",200,bartlett,0.21356188250345934,0.055197919968745214,0.055
"(1) weighted, no controls",200,uniform,0.21356188250345934,0.054062456895679234,
"(4) weighted, all controls",50,bartlett,0.21313786205637095,0.05664983858399853,0.057
"(4) weighted, all controls",50,uniform,0.21313786205637095,0.0602769160255117,
"(4) weighted, all controls",100,bartlett,0.21313786205637095,0.05782875839389758,0.058
"(4) weighted, all controls",100,uniform,0.21313786205637095,0.054099323483291946,
"(4) weighted, all controls",200,bartlett,0.21313786205637095,0.0579426453148554,0.058
"(4) weighted, all controls",200,uniform,0.21313786205637095,0.06388712384117748,
"(7) unweighted, no controls",50,bartlett,0.14598945467945607,0.0398014007629145,0.04
"(7) unweighted, no controls",50,uniform,0.14598945467945607,0.04237198776241248,
"(7) unweighted, no controls",100,bartlett,0.14598945467945607,0.0407122350296463,0.041
"(7) unweighted, no controls",100,uniform,0.14598945467945607,0.039270307948194895,
"(7) unweighted, no controls",200,bartlett,0.14598945467945607,0.0394469527480424,0.039
"(7) unweighted, no controls",200,uniform,0.14598945467945607,0.03815852366687465,
