relative_time,att,se,ci_lower,ci_upper,pvalue
-4,-0.002470916968799427,0.052245748419539086,-0.10487258387109603,0.09993074993349717,0.9622788102278577
-3,-0.01645084810758352,0.0494299347589659,-0.11333352023515668,0.08043182401998965,0.7392766169788145
-2,0.029740053924694632,0.0836644666432609,-0.13424230069609672,0.193722408545486,0.7222388948562783
0,0.2872017360874339,0.08766103824774722,0.11538610112184933,0.45901737105301843,0.0010518579768625138
1,0.23238282420406026,0.1084022085991406,0.019914495349744682,0.44485115305837586,0.03205618546704994
2,0.15615314190737722,0.11788373891792268,-0.07489898637175124,0.3872052701865057,0.18529163511172286
3,0.2834176848938867,0.08671413706791616,0.11345797624077103,0.45337739354700235,0.001081521043781138
4,0.31259868760812787,0.08556492024309088,0.14489144393166975,0.480305931284586,0.0002588400081682274
5,0.25459197916469456,0.08356777981497425,0.09079913072734502,0.4183848276020441,0.00231497248593334
6,0.2401092944990238,0.08749389047567893,0.06862126916669309,0.4115973198313545,0.006064049198884376
7,0.24212869161298495,0.0804964080631561,0.084355731809199,0.3999016514167709,0.002630215575574645
8,0.2877557843409864,0.08339059663713831,0.12431021493219532,0.45120135374977755,0.0005591383772555843
9,0.2960503213811704,0.08565659849618237,0.12816338832865293,0.46393725443368783,0.0005477540954064562
10,0.3131157354069065,0.08615660981819383,0.1442487801632466,0.4819826906505664,0.00027877693129313414
