"lb","ub","method","M","e","family"
0.117583374626608,0.458048668321562,"C-LF",0,0,"relative_magnitude"
0.107053520182434,0.461558619802954,"C-LF",0.25,0,"relative_magnitude"
0.0895037627754778,0.475598425728518,"C-LF",0.5,0,"relative_magnitude"
0.0403644420359999,0.517717843505214,"C-LF",1,0,"relative_magnitude"
-0.033344539073217,0.58791687313304,"C-LF",1.5,0,"relative_magnitude"
-0.114073423145217,0.665135805723648,"C-LF",2,0,"relative_magnitude"
0.136889398583801,0.476096698726896,"FLCI",0,0,"smoothness"
0.0850310466976058,0.48000265555905,"FLCI",0.025,0,"smoothness"
0.0608554339299529,0.514693293550513,"FLCI",0.05,0,"smoothness"
0.00836245831632415,0.590586929317022,"FLCI",0.1,0,"smoothness"
-0.034848170037425,0.661731276356837,"FLCI",0.15,0,"smoothness"
-0.0815689577197636,0.715452537743494,"FLCI",0.2,0,"smoothness"
0.145605970383638,0.477930185141589,"C-LF",0,4,"relative_magnitude"
0.0325472169092837,0.587562915783387,"C-LF",0.25,4,"relative_magnitude"
-0.169588130211531,0.786272240071646,"C-LF",0.5,4,"relative_magnitude"
-0.601267007113612,1.21452509414117,"C-LF",1,4,"relative_magnitude"
-1.03637190684825,1.65305601670836,"C-LF",1.5,4,"relative_magnitude"
-1.47147680658288,1.71129840486182,"C-LF",2,4,"relative_magnitude"
0.112442265314947,0.576848630957596,"FLCI",0,4,"smoothness"
-0.434861557001569,0.978293958326013,"FLCI",0.025,4,"smoothness"
-0.862814779321361,1.42252061585661,"FLCI",0.05,4,"smoothness"
-1.70834881913434,2.30437529552039,"FLCI",0.1,4,"smoothness"
-2.53421639049494,3.17864875876827,"FLCI",0.15,4,"smoothness"
-3.32003607979835,4.05123561729381,"FLCI",0.2,4,"smoothness"
