var,coef,se,N,year,panel,min95,max95
Zeng_all0_invdist_yr1850,-0.002470916968799225,0.052245748419539016,1110,1850,A. Weighted connections,-0.10657284313301116,0.10163100919541271
Zeng_all0_invdist_yr1851,-0.016450848107583443,0.04942993475896585,1110,1851,A. Weighted connections,-0.11494214307877872,0.08204044686361182
Zeng_all0_invdist_yr1852,0.029740053924694806,0.08366446664326084,1110,1852,A. Weighted connections,-0.13696503486311665,0.19644514271250627
Zeng_all0_invdist_yr1854,0.2872017360874344,0.08766103824774713,1110,1854,A. Weighted connections,0.11253330454607893,0.46187016762878985
Zeng_all0_invdist_yr1855,0.23238282420406087,0.10840220859914065,1110,1855,A. Weighted connections,0.016386708596596633,0.4483789398115251
Zeng_all0_invdist_yr1856,0.15615314190737767,0.11788373891792253,1110,1856,A. Weighted connections,-0.07873533526113619,0.3910416190758915
Zeng_all0_invdist_yr1857,0.2834176848938872,0.08671413706791604,1110,1857,A. Weighted connections,0.11063599513898331,0.45619937464879107
Zeng_all0_invdist_yr1858,0.3125986876081286,0.0855649202430907,1110,1858,A. Weighted connections,0.14210686236208295,0.48309051285417426
Zeng_all0_invdist_yr1859,0.25459197916469506,0.08356777981497412,1110,1859,A. Weighted connections,0.08807954308765595,0.42110441524173414
Zeng_all0_invdist_yr1860,0.2401092944990243,0.08749389047567878,1110,1860,A. Weighted connections,0.06577391216363762,0.414444676834411
Zeng_all0_invdist_yr1861,0.24212869161298553,0.08049640806315594,1110,1861,A. Weighted connections,0.0817360973413142,0.40252128588465685
Zeng_all0_invdist_yr1862,0.2877557843409869,0.0833905966371382,1110,1862,A. Weighted connections,0.12159639345240028,0.4539151752295736
Zeng_all0_invdist_yr1863,0.2960503213811709,0.08565659849618233,1110,1863,A. Weighted connections,0.12537582322827795,0.4667248195340638
Zeng_all0_invdist_yr1864,0.31311573540690696,0.08615660981819369,1110,1864,A. Weighted connections,0.1414449429468235,0.4847865278669904
Zeng_all0_yr1850,0.00986648461736432,0.03378099484073396,1110,1850,B. Unweighted connections,-0.05744361691328077,0.07717658614800942
Zeng_all0_yr1851,-0.0011869920560135627,0.03129594099877288,1110,1851,B. Unweighted connections,-0.0635455157186847,0.061171531606657586
Zeng_all0_yr1852,0.025635431951286473,0.05657168681364021,1110,1852,B. Unweighted connections,-0.08708611462064525,0.13835697852321818
Zeng_all0_yr1854,0.2119564324272332,0.06165765955462299,1110,1854,B. Unweighted connections,0.0891008639535887,0.3348120009008777
Zeng_all0_yr1855,0.16344909733822616,0.07804444713659094,1110,1855,B. Unweighted connections,0.007942141861219748,0.31895605281523254
Zeng_all0_yr1856,0.1149848750823688,0.08478253203205598,1110,1856,B. Unweighted connections,-0.05394800762307335,0.283917757787811
Zeng_all0_yr1857,0.2066915514716741,0.06145146758521717,1110,1857,B. Unweighted connections,0.0842468294654277,0.32913627347792046
Zeng_all0_yr1858,0.2153758886233264,0.06085306577196739,1110,1858,B. Unweighted connections,0.09412350825757534,0.3366282689890775
Zeng_all0_yr1859,0.19295831801416352,0.05759939675568843,1110,1859,B. Unweighted connections,0.07818901468227084,0.3077276213460562
Zeng_all0_yr1860,0.1875302650960881,0.06044240401577408,1110,1860,B. Unweighted connections,0.06709614614135961,0.3079643840508166
Zeng_all0_yr1861,0.17755004359299914,0.05801227944974389,1110,1861,B. Unweighted connections,0.061958053534793486,0.2931420336512048
Zeng_all0_yr1862,0.20119398323855547,0.05773357403662653,1110,1862,B. Unweighted connections,0.08615732583832852,0.3162306406387824
Zeng_all0_yr1863,0.20697721634296007,0.06354799474148799,1110,1863,B. Unweighted connections,0.08035507278901607,0.33359935989690404
Zeng_all0_yr1864,0.216298377413636,0.07029997453112598,1110,1864,B. Unweighted connections,0.07622262045025574,0.35637413437701626
Zeng_all0_invdist_pc_yr1850,0.0054489392333533365,0.017352012824294837,1110,1850,C. Weighted connections per capita,-0.029125701047991455,0.04002357951469813
Zeng_all0_invdist_pc_yr1851,-0.005802071798559892,0.015610096604768465,1110,1851,C. Weighted connections per capita,-0.03690586824753725,0.025301724650417468
Zeng_all0_invdist_pc_yr1852,0.003240781122318452,0.03472608637679916,1110,1852,C. Weighted connections per capita,-0.06595245640086389,0.07243401864550081
Zeng_all0_invdist_pc_yr1854,0.09495669886797632,0.03218836519877365,1110,1854,C. Weighted connections per capita,0.0308199811706516,0.15909341656530104
Zeng_all0_invdist_pc_yr1855,0.06976846863807673,0.03442461549933981,1110,1855,C. Weighted connections per capita,0.0011759249507624914,0.13836101232539097
Zeng_all0_invdist_pc_yr1856,0.03879743044777186,0.037376406766122625,1110,1856,C. Weighted connections per capita,-0.03567668572730235,0.11327154662284608
Zeng_all0_invdist_pc_yr1857,0.09382490681858666,0.03180826274413971,1110,1857,C. Weighted connections per capita,0.030445559794745086,0.15720425384242823
Zeng_all0_invdist_pc_yr1858,0.09375375033448836,0.03128056994033432,1110,1858,C. Weighted connections per capita,0.03142585417432302,0.15608164649465373
Zeng_all0_invdist_pc_yr1859,0.07234403489127879,0.030832964267865415,1110,1859,C. Weighted connections per capita,0.010908012502197445,0.13378005728036013
Zeng_all0_invdist_pc_yr1860,0.09360105528392093,0.029940166212611453,1110,1860,C. Weighted connections per capita,0.03394397185234605,0.15325813871549582
Zeng_all0_invdist_pc_yr1861,0.0887267717781468,0.030921018285520605,1110,1861,C. Weighted connections per capita,0.027115297928962064,0.15033824562733156
Zeng_all0_invdist_pc_yr1862,0.11751018205406757,0.031046171475039713,1110,1862,C. Weighted connections per capita,0.05564933503120539,0.17937102907692976
Zeng_all0_invdist_pc_yr1863,0.10736725900686511,0.029978517636090038,1110,1863,C. Weighted connections per capita,0.04763375869590705,0.16710075931782317
Zeng_all0_invdist_pc_yr1864,0.10382420425128701,0.03490453888606335,1110,1864,C. Weighted connections per capita,0.03427539234157159,0.17337301616100242
Zeng_all0_pc_yr1850,0.006794428229423802,0.012510395301448107,1110,1850,D. Unweighted connections per capita,-0.01813307855061872,0.03172193500946632
Zeng_all0_pc_yr1851,-0.00035760561331708857,0.010952709926529768,1110,1851,D. Unweighted connections per capita,-0.022181356532027602,0.021466145305393425
Zeng_all0_pc_yr1852,0.006713398024889015,0.02337016243335275,1110,1852,D. Unweighted connections per capita,-0.03985266711300979,0.053279463162787824
Zeng_all0_pc_yr1854,0.07034742674861338,0.023605835057327575,1110,1854,D. Unweighted connections per capita,0.023311773656821314,0.11738307984040545
Zeng_all0_pc_yr1855,0.051218579095584055,0.025455297635702593,1110,1855,D. Unweighted connections per capita,0.0004977913736702866,0.10193936681749782
Zeng_all0_pc_yr1856,0.032974517873836866,0.02916464296548834,1110,1856,D. Unweighted connections per capita,-0.025137301756321256,0.09108633750399499
Zeng_all0_pc_yr1857,0.07175238578612493,0.025184704291003154,1110,1857,D. Unweighted connections per capita,0.021570767073031287,0.12193400449921857
Zeng_all0_pc_yr1858,0.06857630954304801,0.023416348170897026,1110,1858,D. Unweighted connections per capita,0.021918217314235225,0.1152344017718608
Zeng_all0_pc_yr1859,0.06280284818732397,0.021200447250855632,1110,1859,D. Unweighted connections per capita,0.020560034922705105,0.10504566145194283
Zeng_all0_pc_yr1860,0.07522067145970755,0.02712929988278338,1110,1860,D. Unweighted connections per capita,0.021164361449454702,0.12927698146996042
Zeng_all0_pc_yr1861,0.06548366431556799,0.026414293398331883,1110,1861,D. Unweighted connections per capita,0.01285203582492115,0.11811529280621483
Zeng_all0_pc_yr1862,0.07933475527600449,0.025918414036708203,1110,1862,D. Unweighted connections per capita,0.02769118798175539,0.1309783225702536
Zeng_all0_pc_yr1863,0.07496368987990785,0.027377711550259604,1110,1863,D. Unweighted connections per capita,0.020412408817498208,0.1295149709423175
Zeng_all0_pc_yr1864,0.07113895143266075,0.03079129399793619,1110,1864,D. Unweighted connections per capita,0.009785958868869314,0.13249194399645217
