year,1,2,3,4
1820,0.017758046614872364,0.0,0.16865671641791044,0.05263157894736842
1821,0.018867924528301886,0.0,0.19552238805970149,0.15789473684210525
1822,0.021087680355160933,0.0,0.22388059701492538,0.2894736842105263
1823,0.014428412874583796,0.0,0.1537313432835821,0.18421052631578946
1824,0.01997780244173141,0.0,0.13432835820895522,0.15789473684210525
1825,0.021087680355160933,0.02702702702702703,0.16567164179104477,0.13157894736842105
1826,0.016648168701442843,0.05405405405405406,0.1373134328358209,0.10526315789473684
1827,0.014428412874583796,0.0,0.13432835820895522,0.13157894736842105
1828,0.013318534961154272,0.0,0.15970149253731344,0.18421052631578946
1829,0.013318534961154272,0.0,0.1253731343283582,0.07894736842105263
1830,0.01553829078801332,0.0,0.14626865671641792,0.13157894736842105
1831,0.016648168701442843,0.0,0.2,0.15789473684210525
1832,0.022197558268590455,0.0,0.21343283582089553,0.07894736842105263
1833,0.01553829078801332,0.0,0.1865671641791045,0.15789473684210525
1834,0.011098779134295227,0.0,0.19701492537313434,0.15789473684210525
1835,0.01220865704772475,0.0,0.208955223880597,0.15789473684210525
1836,0.01553829078801332,0.0,0.18507462686567164,0.05263157894736842
1837,0.02774694783573807,0.0,0.1880597014925373,0.05263157894736842
1838,0.02774694783573807,0.0,0.17164179104477612,0.05263157894736842
1839,0.033296337402885685,0.0,0.19701492537313434,0.15789473684210525
1840,0.03662597114317425,0.0,0.21641791044776118,0.10526315789473684
1841,0.01997780244173141,0.0,0.17761194029850746,0.13157894736842105
1842,0.021087680355160933,0.0,0.15970149253731344,0.07894736842105263
1843,0.023307436182019976,0.0,0.2253731343283582,0.10526315789473684
1844,0.01997780244173141,0.0,0.19701492537313434,0.13157894736842105
1845,0.016648168701442843,0.0,0.18059701492537314,0.10526315789473684
1846,0.011098779134295227,0.0,0.21044776119402986,0.10526315789473684
1847,0.01553829078801332,0.0,0.18208955223880596,0.15789473684210525
1848,0.011098779134295227,0.0,0.1880597014925373,0.13157894736842105
1849,0.01220865704772475,0.0,0.24328358208955222,0.2631578947368421
1850,0.013318534961154272,0.0,0.17313432835820897,0.10526315789473684
1851,0.014428412874583796,0.02702702702702703,0.18208955223880596,0.10526315789473684
1852,0.011098779134295227,0.02702702702702703,0.22238805970149253,0.2894736842105263
1853,0.013318534961154272,0.08108108108108109,0.191044776119403,0.18421052631578946
1854,0.00776914539400666,0.08108108108108109,0.18208955223880596,0.15789473684210525
1855,0.01220865704772475,0.05405405405405406,0.16119402985074627,0.15789473684210525
1856,0.006659267480577136,0.05405405405405406,0.15522388059701492,0.13157894736842105
1857,0.004439511653718091,0.05405405405405406,0.12686567164179105,0.13157894736842105
1858,0.009988901220865706,0.05405405405405406,0.16119402985074627,0.07894736842105263
1859,0.013318534961154272,0.02702702702702703,0.1701492537313433,0.15789473684210525
1860,0.013318534961154272,0.0,0.18059701492537314,0.21052631578947367
1861,0.01553829078801332,0.0,0.1582089552238806,0.47368421052631576
1862,0.01553829078801332,0.0,0.191044776119403,0.6842105263157895
1863,0.01997780244173141,0.0,0.1865671641791045,0.7368421052631579
1864,0.01997780244173141,0.05405405405405406,0.18059701492537314,0.6052631578947368
1865,0.01553829078801332,0.08108108108108109,0.15671641791044777,0.6052631578947368
1866,0.01997780244173141,0.08108108108108109,0.1626865671641791,0.7105263157894737
1867,0.023307436182019976,0.05405405405405406,0.20149253731343283,0.631578947368421
1868,0.018867924528301886,0.02702702702702703,0.1626865671641791,0.6052631578947368
1869,0.01553829078801332,0.02702702702702703,0.14477611940298507,0.47368421052631576
1870,0.0244173140954495,0.02702702702702703,0.18208955223880596,0.39473684210526316
1871,0.016648168701442843,0.02702702702702703,0.15671641791044777,0.34210526315789475
1872,0.01997780244173141,0.02702702702702703,0.13134328358208955,0.34210526315789475
1873,0.023307436182019976,0.0,0.1582089552238806,0.3157894736842105
1874,0.017758046614872364,0.0,0.12835820895522387,0.3684210526315789
1875,0.02774694783573807,0.0,0.15970149253731344,0.6052631578947368
1876,0.029966703662597113,0.0,0.18059701492537314,0.4473684210526316
1877,0.01553829078801332,0.0,0.13880597014925372,0.42105263157894735
1878,0.01553829078801332,0.0,0.14477611940298507,0.5526315789473685
1879,0.0244173140954495,0.0,0.20298507462686566,0.6052631578947368
1880,0.01997780244173141,0.02702702702702703,0.12985074626865672,0.5526315789473685
1881,0.02774694783573807,0.02702702702702703,0.16417910447761194,0.7368421052631579
1882,0.03107658157602664,0.05405405405405406,0.19402985074626866,0.5263157894736842
1883,0.026637069922308545,0.05405405405405406,0.18208955223880596,0.5789473684210527
1884,0.025527192008879023,0.05405405405405406,0.17313432835820897,0.631578947368421
1885,0.03995560488346282,0.13513513513513514,0.21492537313432836,0.5789473684210527
1886,0.01997780244173141,0.08108108108108109,0.1865671641791045,0.5
1887,0.018867924528301886,0.08108108108108109,0.14776119402985075,0.5526315789473685
1888,0.03107658157602664,0.05405405405405406,0.18507462686567164,0.631578947368421
1889,0.033296337402885685,0.08108108108108109,0.20746268656716418,0.5263157894736842
1890,0.018867924528301886,0.08108108108108109,0.18358208955223881,0.47368421052631576
1891,0.023307436182019976,0.08108108108108109,0.2,0.39473684210526316
1892,0.01997780244173141,0.08108108108108109,0.1582089552238806,0.3684210526315789
1893,0.016648168701442843,0.08108108108108109,0.1791044776119403,0.42105263157894735
1894,0.02774694783573807,0.02702702702702703,0.21044776119402986,0.4473684210526316
1895,0.03107658157602664,0.02702702702702703,0.1791044776119403,0.5263157894736842
1896,0.017758046614872364,0.0,0.1417910447761194,0.34210526315789475
1897,0.018867924528301886,0.0,0.191044776119403,0.3684210526315789
1898,0.03218645948945616,0.0,0.17313432835820897,0.3684210526315789
1899,0.025527192008879023,0.0,0.12985074626865672,0.3157894736842105
1900,0.03662597114317425,0.0,0.20597014925373133,0.3684210526315789
1901,0.03995560488346282,0.0,0.20746268656716418,0.3157894736842105
1902,0.04439511653718091,0.0,0.14925373134328357,0.3684210526315789
1903,0.05771365149833518,0.0,0.20149253731343283,0.3157894736842105
1904,0.04328523862375139,0.0,0.1208955223880597,0.2631578947368421
1905,0.04550499445061043,0.0,0.1582089552238806,0.21052631578947367
1906,0.06104328523862375,0.0,0.26865671641791045,0.21052631578947367
1907,0.058823529411764705,0.0,0.24328358208955222,0.23684210526315788
1908,0.05327413984461709,0.02702702702702703,0.23283582089552238,0.3157894736842105
1909,0.05438401775804662,0.02702702702702703,0.20597014925373133,0.23684210526315788
1910,0.051054384017758046,0.0,0.23134328358208955,0.21052631578947367
