var,coef,se,N,year,min95,max95,panel
h_1821,0.016029467657013862,0.005604336372789624,182706,1821,0.004992581606703626,0.027066353707324096,A. Hunan
h_1822,0.01847894925829082,0.019098518614653642,182706,1822,-0.01913267139729429,0.05609056991387593,A. Hunan
h_1823,0.0158954394668263,0.012537640817605377,182706,1823,-0.008795532637467733,0.040586411571120334,A. Hunan
h_1824,0.010483472263006409,0.007248726848956371,182706,1824,-0.0037917901267015153,0.02475873465271433,A. Hunan
h_1825,0.010830096839534236,0.009063321153675226,182706,1825,-0.00701873238066624,0.02867892605973471,A. Hunan
h_1826,0.002857728232003378,0.008501990430858728,182706,1826,-0.01388564570996936,0.019601102173976117,A. Hunan
h_1827,0.007151253076278676,0.009682345144583927,182706,1827,-0.011916649517754079,0.026219155670311432,A. Hunan
h_1828,0.0131224416147976,0.010511244427475579,182706,1828,-0.007577851743086696,0.0338227349726819,A. Hunan
h_1829,0.003259812864722135,0.0031354059392254443,182706,1829,-0.0029148911092779246,0.009434516838722195,A. Hunan
h_1830,0.008537751940273293,0.004875578645670165,182706,1830,-0.0010639568727190234,0.01813946075326561,A. Hunan
h_1831,0.0032043528704889584,0.006503756841820343,182706,1831,-0.00960380466812908,0.016012510409107,A. Hunan
h_1832,0.0025665634636656224,0.00165698699910009,182706,1832,-0.0006966198071861503,0.005829746734517395,A. Hunan
h_1833,0.005284101197521736,0.005486096510779532,182706,1833,-0.005519929471383151,0.016088131866426623,A. Hunan
h_1834,0.009096973151015047,0.006504060690931588,182706,1834,-0.0037117827721028195,0.021905729074132914,A. Hunan
h_1835,0.01152334617854287,0.003970324282363079,182706,1835,0.0037043978192014167,0.019342294537884323,A. Hunan
h_1836,0.0009674680274170803,0.0020175841201888396,182706,1836,-0.0030058562968606887,0.00494079235169485,A. Hunan
h_1837,0.0009674680273973888,0.0020175841201957585,182706,1837,-0.0030058562968940054,0.004940792351688783,A. Hunan
h_1838,0.000967468027408733,0.0020175841201924205,182706,1838,-0.0030058562968760874,0.004940792351693554,A. Hunan
h_1839,0.005284101197473283,0.005486096510763609,182706,1839,-0.005519929471400248,0.016088131866346812,A. Hunan
h_1840,0.008325155429953105,0.0016998998000677006,182706,1840,0.004977461940071884,0.011672848919834326,A. Hunan
h_1841,0.01928311827583483,0.0019801322101297677,182706,1841,0.015383549778508377,0.02318268677316128,A. Hunan
h_1842,0.009845682546241947,0.002512883421968142,182706,1842,0.004896941760333176,0.014794423332150718,A. Hunan
h_1843,0.01941714659000072,0.002261382840995206,182706,1843,0.014963697854594522,0.02387059532540692,A. Hunan
h_1844,0.01269724859425898,0.003745154753532322,182706,1844,0.005321737292652532,0.020072759895865426,A. Hunan
h_1845,0.012138027383504167,0.002599698480809316,182706,1845,0.007018317575012606,0.017257737191995727,A. Hunan
h_1846,0.012831276846494086,0.0024002357394204447,182706,1846,0.008104378497121935,0.017558175195866235,A. Hunan
h_1847,0.03613370152615553,0.002173239876247034,182706,1847,0.03185383692156371,0.040413566130747355,A. Hunan
h_1848,0.02170949142730879,0.005287808917098679,182706,1848,0.011295957943275132,0.032123024911342446,A. Hunan
h_1849,0.04495645617469653,0.013431378481727362,182706,1849,0.018505403999963248,0.0714075083494298,A. Hunan
h_1850,0.015257649997983798,0.007365469583564597,182706,1850,0.0007524805910367836,0.029762819404930814,A. Hunan
h_1851,0.009924250928199704,0.004389369229027391,182706,1851,0.0012800574339039,0.018568444422495507,A. Hunan
h_1852,0.04468839973221506,0.016316498431625626,182706,1852,0.012555543680914355,0.07682125578351577,A. Hunan
h_1853,-0.00391762963417304,0.011552068849727945,182706,1853,-0.02666766800781936,0.01883240873947328,A. Hunan
h_1854,0.0222248119665902,0.008035518786852503,182706,1854,0.006400082809322794,0.03804954112385761,A. Hunan
h_1855,0.019239217666311988,0.005205808398601181,182706,1855,0.008987171701678018,0.02949126363094596,A. Hunan
h_1856,0.010014378385012603,0.006455578212590322,182706,1856,-0.002698898688640197,0.022727655458665404,A. Hunan
h_1857,0.022492868409091635,0.007400965858039001,182706,1857,0.007917794501321533,0.03706794231686174,A. Hunan
h_1858,0.010975684290467868,0.008246468328333142,182706,1858,-0.005264477827424653,0.02721584640836039,A. Hunan
h_1859,0.020413120082051647,0.009638977891110083,182706,1859,0.0014306226819736367,0.039395617482129656,A. Hunan
h_1860,0.017852718802283795,0.011604875751068907,182706,1860,-0.00500131471262491,0.0407067523171925,A. Hunan
h_1861,0.11114098577895472,0.0076455172934728165,182706,1861,0.09608430510335614,0.1261976664545533,A. Hunan
h_1862,0.14057173569915526,0.020165542696992427,182706,1862,0.10085877379166239,0.18028469760664814,A. Hunan
h_1863,0.18883114036494533,0.01894024351276974,182706,1863,0.15153121839193312,0.22613106233795754,A. Hunan
h_1864,0.1549173776019652,0.01817652928311358,182706,1864,0.11912147436855619,0.1907132808353742,A. Hunan
h_1865,0.13571898958215076,0.01675395606083153,182706,1865,0.10272462742482359,0.16871335173947793,A. Hunan
h_1866,0.18613671083300382,0.016987194712333602,182706,1866,0.15268302071105716,0.21959040095495047,A. Hunan
h_1867,0.14507785717763313,0.014651533162968461,182706,1867,0.11622389638271163,0.17393181797255464,A. Hunan
h_1868,0.16163727553571625,0.00879682080864812,182706,1868,0.1443132781144623,0.1789612729569702,A. Hunan
h_1869,0.11897932638216073,0.010533609053871558,182706,1869,0.0982349893022956,0.13972366346202586,A. Hunan
h_1870,0.10586304688925952,0.008431293216110766,182706,1870,0.08925890033325097,0.12246719344526806,A. Hunan
h_1871,0.06349626238004655,0.01164785696322458,182706,1871,0.040557583920703466,0.08643494083938963,A. Hunan
h_1872,0.06765575903409093,0.007884079835418684,182706,1872,0.052129265803322986,0.08318225226485888,A. Hunan
h_1873,0.05267232760050755,0.007130394115471051,182706,1873,0.03863010348841627,0.06671455171259882,A. Hunan
h_1874,0.060376639765590594,0.010646495698081534,182706,1874,0.03940998965062703,0.08134328988055416,A. Hunan
h_1875,0.09452610742662278,0.011659848977221846,182706,1875,0.07156381252401191,0.11748840232923365,A. Hunan
h_1876,0.07695916644943498,0.006965444153520944,182706,1876,0.06324178613916928,0.09067654675970069,A. Hunan
h_1877,0.07016070019568033,0.006939159814877434,182706,1877,0.05649508288306849,0.08382631750829217,A. Hunan
h_1878,0.12148426748176382,0.007868367439368279,182706,1878,0.10598871741950867,0.13697981754401897,A. Hunan
h_1879,0.0872469883440262,0.010423935147365629,182706,1879,0.06671863730216468,0.10777533938588771,A. Hunan
h_1880,0.09466013586481327,0.009253232406961872,182706,1880,0.07643730538509293,0.11288296634453361,A. Hunan
h_1881,0.12907765984438188,0.008567226503112313,182706,1881,0.11220581340398303,0.14594950628478073,A. Hunan
h_1882,0.10228587958589908,0.009043987194082963,182706,1882,0.08447512565146431,0.12009663352033384,A. Hunan
h_1883,0.133214048172603,0.00837056568328305,182706,1883,0.11672949523399224,0.14969860111121372,A. Hunan
h_1884,0.15478334922575832,0.00728576682370732,182706,1884,0.14043514225288486,0.16913155619863177,A. Hunan
h_1885,0.1279592174228774,0.012216981339181877,182706,1885,0.10389973527366445,0.15201869957209038,A. Hunan
h_1886,0.09396688633988384,0.011172161391106463,182706,1886,0.07196501778538439,0.1159687548943833,A. Hunan
h_1887,0.12073555827258195,0.012173373864613698,182706,1887,0.09676195439614496,0.14470916214901894,A. Hunan
h_1888,0.11769450404006347,0.024169696907427853,182706,1888,0.07009597088759409,0.16529303719253285,A. Hunan
h_1889,0.09556598171413894,0.012551553783345513,182706,1889,0.07084761014498742,0.12028435328329046,A. Hunan
h_1890,0.09340766512911883,0.01097423269252885,182706,1890,0.07179558697030185,0.11501974328793581,A. Hunan
h_1891,0.03661667052102434,0.007611058648659187,182706,1891,0.02162785089282874,0.05160549014921994,A. Hunan
h_1892,0.03640407401080311,0.007760664920449335,182706,1892,0.02112062763925632,0.0516875203823499,A. Hunan
h_1893,0.0382157658953327,0.011435783041814036,182706,1893,0.015694734691463957,0.06073679709920145,A. Hunan
h_1894,0.047362036918588035,0.014954228174440882,182706,1894,0.017911964447386908,0.07681210938978916,A. Hunan
h_1895,0.07157030757152216,0.016638953009888015,182706,1895,0.038802426389688234,0.1043381887533561,A. Hunan
h_1896,0.03694018689576848,0.014399269554128654,182706,1896,0.008583020818402284,0.06529735297313467,A. Hunan
h_1897,0.019474922564404595,0.021729461686516387,182706,1897,-0.023317939358208282,0.062267784487017475,A. Hunan
h_1898,0.012889052820854941,0.01442027853094295,182706,1898,-0.015509487233322995,0.04128759287503288,A. Hunan
h_1899,0.01835648008091016,0.02101001104053931,182706,1899,-0.02301953348173916,0.05973249364355948,A. Hunan
h_1900,0.011502553894846333,0.017043190022459208,182706,1900,-0.022061410453359943,0.04506651824305261,A. Hunan
h_1901,0.021822727333939803,0.015170197860262693,182706,1901,-0.008052664506796266,0.05169811917467587,A. Hunan
h_1902,0.02883379003605999,0.010366590500543848,182706,1902,0.008418370533361644,0.04924920953875833,A. Hunan
h_1903,0.02078285317045499,0.011742799858411162,182706,1903,-0.0023428008459850137,0.043908507186895,A. Hunan
h_1904,0.016544788196465165,0.00849356595874976,182706,1904,-0.0001819950320821398,0.03327157142501247,A. Hunan
h_1905,0.012306723284374183,0.007527907045633748,182706,1905,-0.0025183419389380474,0.02713178850768641,A. Hunan
h_1906,0.016466220000311647,0.005036152338355937,182706,1906,0.006548285780604807,0.026384154220018486,A. Hunan
h_1907,0.025691059405581945,0.00705255580667507,182706,1907,0.011802125975452799,0.03957999283571109,A. Hunan
h_1908,0.032434065665207436,0.00827617524740133,182706,1908,0.016135400299320507,0.048732731031094365,A. Hunan
h_1909,0.021050909798857168,0.006799410882900172,182706,1909,0.007660506701682912,0.034441312896031424,A. Hunan
h_1910,0.02201221564232569,0.00652647269256625,182706,1910,0.009159322698917229,0.034865108585734154,A. Hunan
nh_1821,0.0118406427123218,0.008221079534395166,182706,1821,-0.0043495200466798535,0.028030805471323455,B. Non-Hunan
nh_1822,-0.013689559973052018,0.024139844619937605,182706,1822,-0.06122930359658259,0.03385018365047855,B. Non-Hunan
nh_1823,-0.04365308499105575,0.030048787434819098,182706,1823,-0.10282959061236488,0.01552342063025338,B. Non-Hunan
nh_1824,-0.05573944347532767,0.033399421474608657,182706,1824,-0.12151451200106869,0.010035625050413353,B. Non-Hunan
nh_1825,-0.04762176118820675,0.035588359943003425,182706,1825,-0.11770761030237062,0.02246408792595713,B. Non-Hunan
nh_1826,-0.051307883023145304,0.03491184516517974,182706,1826,-0.12006143942368067,0.01744567337739006,B. Non-Hunan
nh_1827,-0.05021620497982116,0.034590308782560676,182706,1827,-0.11833654449615491,0.017904134536512593,B. Non-Hunan
nh_1828,0.0020928417031832146,0.008310239279517847,182706,1828,-0.014272907580562297,0.018458590986928727,B. Non-Hunan
nh_1829,-0.04002207816668399,0.024108807193836686,182706,1829,-0.087500698311468,0.007456541978100022,B. Non-Hunan
nh_1830,-0.028667918366791875,0.020168527907725036,182706,1830,-0.06838675919169807,0.011050922458114308,B. Non-Hunan
nh_1831,-0.026343764063575224,0.04184241294326824,182706,1831,-0.10874601707020665,0.056058488943056206,B. Non-Hunan
