prov_en,provinceid,Yangtze,mobbased2053,num2053,mobbased5464,num5464,mobbased6599,num6599,RatioWar2053,RatioWar5464,RatioWar6599
ZJ,1,1,5.0,202.0,16.0,70.0,28.0,178.0,0.024752475247524754,0.22857143,0.15730337078651685
GD,2,1,1.0,189.0,5.0,61.0,11.0,184.0,0.005291005291005291,0.08196721,0.059782608695652176
SN,3,0,7.0,177.0,2.0,57.0,21.0,167.0,0.03954802259887006,0.03508772,0.12574850299401197
FJ,4,1,1.0,192.0,4.0,60.0,13.0,166.0,0.005208333333333333,0.06666667,0.0783132530120482
JX,5,1,4.0,200.0,7.0,67.0,14.0,159.0,0.02,0.104477614,0.0880503144654088
HN,6,1,0.0,187.0,0.0,58.0,2.0,175.0,0.0,0.0,0.011428571428571429
HB,7,1,13.0,201.0,19.0,77.0,20.0,160.0,0.06467661691542288,0.24675325,0.125
GZ,8,0,7.0,164.0,1.0,56.0,32.0,168.0,0.042682926829268296,0.017857144,0.19047619047619047
HA,9,0,0.0,174.0,0.0,67.0,2.0,159.0,0.0,0.0,0.012578616352201259
SD,10,1,4.0,191.0,0.0,59.0,11.0,163.0,0.020942408376963352,0.0,0.06748466257668712
GX,11,1,3.0,168.0,13.0,65.0,15.0,169.0,0.017857142857142856,0.2,0.08875739644970414
AH,12,1,10.0,180.0,9.0,61.0,1.0,168.0,0.05555555555555555,0.14754099,0.005952380952380952
JS,13,1,15.0,265.0,4.0,91.0,12.0,223.0,0.05660377358490566,0.043956045,0.053811659192825115
YN,14,0,0.0,173.0,3.0,67.0,8.0,164.0,0.0,0.04477612,0.04878048780487805
SX,15,0,7.0,197.0,0.0,51.0,16.0,180.0,0.03553299492385787,0.0,0.08888888888888889
ZL,16,0,5.0,120.0,1.0,37.0,5.0,103.0,0.041666666666666664,0.027027028,0.04854368932038835
GS,17,0,5.0,122.0,0.0,32.0,20.0,106.0,0.040983606557377046,0.0,0.18867924528301888
SC,18,1,3.0,129.0,6.0,45.0,12.0,117.0,0.023255813953488372,0.13333334,0.10256410256410256
