table,col,var,paper_coef,paper_se,paper_N,stata_coef,stata_se,stata_N,coef,se,N,abs_diff_coef_vs_stata,abs_diff_se_vs_stata,status
Table 2,1,Zeng_all0_invdist_Post,0.214,0.058,1125,0.214,0.058,1125,0.2135618825034593,0.05808598975556691,1125,0.0,0.0,✅
Table 2,2,Zeng_all0_invdist_Post,0.201,0.06,1125,0.201,0.06,1125,0.2008472682735857,0.05959634259673668,1125,0.0,0.0,✅
Table 2,3,Zeng_all0_invdist_Post,0.212,0.058,1125,0.212,0.058,1125,0.21247697212335084,0.05820979430286425,1125,0.0,0.0,✅
Table 2,4,Zeng_all0_invdist_Post,0.213,0.059,1125,0.213,0.059,1125,0.21313786205638147,0.05911713170770264,1125,0.0,0.0,✅
Table 2,5,Zeng_all0_invdist_pc_Post,0.061,0.022,1125,0.061,0.022,1125,0.06116233646214758,0.02183422121671964,1125,0.0,0.0,✅
Table 2,6,Zeng_all0_invdist_pc_Post,0.056,0.023,1125,0.056,0.023,1125,0.055768917991744854,0.02316220306685296,1125,0.0,0.0,✅
Table 2,7,Zeng_all0_Post,0.146,0.042,1125,0.146,0.042,1125,0.14598945467945607,0.042075533067277446,1125,0.0,0.0,✅
Table 2,8,Zeng_all0_Post,0.147,0.042,1125,0.147,0.042,1125,0.14699599167001848,0.04180958721887912,1125,0.0,0.0,✅
Table 2,9,Zeng_all0_pc_Post,0.047,0.017,1125,0.047,0.017,1125,0.04718825681488382,0.017178613163022032,1125,0.0,0.0,✅
Table 2,10,Zeng_all0_pc_Post,0.044,0.017,1125,0.044,0.017,1125,0.044103359275584585,0.016977168566706037,1125,0.0,0.0,✅
Table 3,1,Zenghu_all_invdist_Post,0.183,0.038,1125,0.183,0.038,1110,0.1828075682269471,0.03860535538727706,1110,0.0,0.0010000000000000009,⚠️
Table 3,2,Zeng_BMF_invdist_Post,0.178,0.043,1125,0.178,0.043,1110,0.17801876708961345,0.04357181735380918,1110,0.0,0.0010000000000000009,⚠️
Table 3,3,Zeng_Juren_invdist_Post,0.2,0.095,1125,0.2,0.095,1110,0.19977604127260035,0.09624126073215565,1110,0.0,0.0010000000000000009,⚠️
Table 3,4,Zeng_exam0_invdist_Post,0.68,0.282,1125,0.68,0.282,1110,0.6798248807698247,0.2844217798976557,1110,0.0,0.0020000000000000018,❌
Table 3,5,sur_invdis_zeng_all0_Post,0.223,0.067,48495,0.223,0.067,48495,0.22314696815553417,0.06669184110206616,48495,0.0,0.0,✅
Table 3,6,sur_invdis_zeng_all0_Post,0.249,0.073,48495,0.249,0.073,48495,0.24856795187965125,0.07265909253608578,48495,0.0,0.0,✅
Table 3,6,oth_sur_invdis_zeng_all0_Post,0.057,0.016,48495,0.056,0.017,48495,0.05646618920097971,0.01654878619792179,48495,0.0,0.0,⚠️
Table 3,7,sur_invdis_zeng_all0_Post,0.214,0.061,48480,0.214,0.061,48480,0.213926395145351,0.06134651972278948,48480,0.0,0.0,✅
Table 4,1,Zeng_exam0_invdist_Post,0.725,0.316,1095,0.725,0.316,1095,0.7254689651485671,0.3186820674225794,1095,0.0,0.0030000000000000027,❌
Table 4,1,invdist0_L1_Post,-0.028,0.254,1095,-0.028,0.254,1095,-0.027684673917308573,0.2555687653271449,1095,0.0,0.0020000000000000018,❌
Table 4,2,Zeng_exam0_invdist_Post,0.756,0.335,1095,0.756,0.335,1095,0.7556477284952116,0.3374161317790784,1095,0.0,0.0020000000000000018,❌
Table 4,2,invdist0_F1_Post,-0.085,0.192,1095,-0.085,0.192,1095,-0.08478736495289489,0.19381941714917986,1095,0.0,0.0020000000000000018,❌
Table 4,3,Zeng_exam0_invdist_Post,0.727,0.316,1095,0.727,0.316,1095,0.7271502632083587,0.3189922902159512,1095,0.0,0.0030000000000000027,❌
Table 4,3,invdist0_L1_Post,0.146,0.537,1095,0.146,0.537,1095,0.14596920443115113,0.541831434928853,1095,0.0,0.0050000000000000044,❌
Table 4,3,invdist0_F1_Post,-0.179,0.422,1095,-0.179,0.422,1095,-0.1787823097832426,0.42583548329941456,1095,0.0,0.0040000000000000036,❌
Table 4,4,Zeng_all0_invdist_Post,0.329,0.137,1095,0.329,0.137,1095,0.3289624994970009,0.1374196945625233,1095,0.0,0.0,✅
Table 4,4,invdist0_L1_Post,-0.303,0.329,1095,-0.303,0.328,1095,-0.3027150563730345,0.328344273197237,1095,0.0,0.0,⚠️
Table 4,5,Zeng_all0_invdist_Post,0.323,0.14,1095,0.323,0.14,1095,0.32337317562774365,0.1396773406541768,1095,0.0,0.0,✅
Table 4,5,invdist0_F1_Post,-0.278,0.253,1095,-0.278,0.252,1095,-0.2782187452414565,0.2523863510130903,1095,0.0,0.0,⚠️
Table 4,6,Zeng_all0_invdist_Post,0.33,0.143,1095,0.33,0.143,1095,0.3299495364705281,0.14266566606086525,1095,0.0,0.0,✅
Table 4,6,invdist0_L1_Post,-0.079,0.535,1095,-0.079,0.535,1095,-0.07871473398418755,0.534697388846535,1095,0.0,0.0,✅
Table 4,6,invdist0_F1_Post,-0.231,0.408,1095,-0.231,0.407,1095,-0.2314651964847092,0.4074561511153829,1095,0.0,0.0,⚠️
Table 4,7,Zeng_all0_invdist_Post,0.029,0.036,1995,0.029,0.036,1995,0.028407634077572085,0.037190557572378886,1995,0.0010000000000000009,0.0010000000000000009,⚠️
Table 4,8,Zeng_exam0_invdist_Post,0.047,0.052,1995,0.047,0.052,1995,0.04644971377307173,0.05280129816594773,1995,0.0010000000000000009,0.0010000000000000009,⚠️
