var,panel,count,mean,std,min,max,paper_mean,paper_sd
martyr,A: Hunan 1850-64,1125.0,26.213333333333335,145.74804223366647,0.0,3740.0,26.21,145.75
martyrs_tot_hn,A: Hunan 1850-64,1125.0,370.4266662597656,1204.7960205078125,0.0,9497.0,370.0,1200.0
Zeng_all0_invdist,A: Hunan 1850-64,1125.0,1.2311111140251159,2.5331276889936962,0.0,15.83333334326744,1.23,2.53
Zeng_all0_invdist_pc,A: Hunan 1850-64,1125.0,4.457929611206055,7.525672435760498,0.0,43.380184173583984,4.48,7.53
lnarea,A: Hunan 1850-64,1125.0,7.841083526611328,0.47917255759239197,6.55483341217041,8.895058631896973,7.84,0.48
lnpop,A: Hunan 1850-64,1125.0,12.14279842376709,0.6204288005828857,10.489884376525879,13.363228797912598,12.14,0.62
lnrice,A: Hunan 1850-64,1125.0,1.6342886686325073,0.09834539890289307,1.4069136381149292,1.945910096168518,,
lnwheat,A: Hunan 1850-64,1125.0,1.6105237007141113,0.06157819554209709,1.4622802734375,1.800976037979126,,
mainriv,A: Hunan 1850-64,1125.0,0.4,0.49011582624076994,0.0,1.0,,
dist2canal,A: Hunan 1850-64,1125.0,8.738826097246838,1.2167653657440076,6.43932940750841,11.283365505181063,,
lnurbanpop,A: Hunan 1850-64,1125.0,8.534782409667969,1.4825369119644165,6.216606140136719,12.452936172485352,8.53,1.48
capital,A: Hunan 1850-64,1125.0,0.28,0.5051337865840637,0.0,2.0,,
lnjinshi,A: Hunan 1850-64,1125.0,1.1132928133010864,1.0689690113067627,0.0,3.761200189590454,,
lnquotas,A: Hunan 1850-64,1125.0,2.62589693069458,0.35781458020210266,1.7917594909667969,3.1354942321777344,,
dist_nanjing,A: Hunan 1850-64,1125.0,8.643134246712053,1.2622053108113749,5.82072847087062,11.015497465440822,,
route1,A: Hunan 1850-64,1125.0,0.12,0.32510605989113145,0.0,1.0,,
martyrs_tot_post,"B: all counties, code sample (1800-1910)",182706.0,0.016878491267561913,0.26841774582862854,0.0,9.496999740600586,,
Zeng_all0_invdist,"B: all counties, code sample (1800-1910)",182706.0,0.6773997604810742,2.0185805676392485,0.0,44.83333358168602,,
alloff,"B: all counties, code sample (1800-1910)",182706.0,0.09063194421639136,0.5382916928690845,0.0,25.0,,
lncntyarea,"B: all counties, code sample (1800-1910)",182706.0,7.397332191467285,0.8883175253868103,-5.792673587799072,11.46648120880127,,
lncntypop,"B: all counties, code sample (1800-1910)",182706.0,12.08437442779541,1.0239737033843994,-2.2316274642944336,14.817119598388672,,
lnrice,"B: all counties, code sample (1800-1910)",182706.0,1.3436764478683472,0.32036659121513367,0.0,2.0149030685424805,,
lnwheat,"B: all counties, code sample (1800-1910)",182706.0,1.5637844800949097,0.29981091618537903,0.0,2.0918641090393066,,
mainriv,"B: all counties, code sample (1800-1910)",182706.0,0.4246658566221142,0.49429354042434537,0.0,1.0,,
dist2canal,"B: all counties, code sample (1800-1910)",182706.0,7.059183155692335,5.564342357528839,0.005567172991482048,21.924175529085684,,
lnurbanpop,"B: all counties, code sample (1800-1910)",182706.0,7.696714878082275,2.7636184692382812,0.0,13.153863906860352,,
prefcap,"B: all counties, code sample (1800-1910)",182706.0,0.14277035236938032,0.3498394613459712,0.0,1.0,,
lnjinshi,"B: all counties, code sample (1800-1910)",182706.0,1.4644755125045776,1.2287118434906006,0.0,6.2045578956604,,
lncntyquota0,"B: all counties, code sample (1800-1910)",182706.0,2.504340410232544,0.8438703417778015,-11.712610244750977,4.279930591583252,,
dist_nanjing,"B: all counties, code sample (1800-1910)",182706.0,9.12269563913451,4.737305437264507,0.16165437177814496,23.63910881531917,,
Taiping_route1,"B: all counties, code sample (1800-1910)",182706.0,0.03645200654864311,0.18741251528263092,0.0,1.0,,
martyrs_tot_post,"B: all counties, 1820-1910 (paper label)",149786.0,0.016878493130207062,0.2684178948402405,0.0,9.496999740600586,0.02,0.27
Zeng_all0_invdist,"B: all counties, 1820-1910 (paper label)",149786.0,0.6773997604810742,2.018581781739796,0.0,44.83333358168602,0.68,2.02
alloff,"B: all counties, 1820-1910 (paper label)",149786.0,0.09315289813467213,0.5403085740802825,0.0,15.0,0.09,0.54
lncntyarea,"B: all counties, 1820-1910 (paper label)",149786.0,7.397332668304443,0.8883180618286133,-5.792673587799072,11.46648120880127,7.4,0.89
lncntypop,"B: all counties, 1820-1910 (paper label)",149786.0,12.084373474121094,1.0239744186401367,-2.2316274642944336,14.817119598388672,,
lnrice,"B: all counties, 1820-1910 (paper label)",149786.0,1.3436766862869263,0.3203667998313904,0.0,2.0149030685424805,,
lnwheat,"B: all counties, 1820-1910 (paper label)",149786.0,1.5637847185134888,0.29981109499931335,0.0,2.0918641090393066,,
mainriv,"B: all counties, 1820-1910 (paper label)",149786.0,0.4246658566221142,0.494293837723382,0.0,1.0,,
dist2canal,"B: all counties, 1820-1910 (paper label)",149786.0,7.059183155692333,5.5643457042721955,0.005567172991482048,21.924175529085684,,
lnurbanpop,"B: all counties, 1820-1910 (paper label)",149786.0,7.696715831756592,2.763620138168335,0.0,13.153863906860352,7.7,2.76
prefcap,"B: all counties, 1820-1910 (paper label)",149786.0,0.14277035236938032,0.34983967176129394,0.0,1.0,,
lnjinshi,"B: all counties, 1820-1910 (paper label)",149786.0,1.4644755125045776,1.228712558746338,0.0,6.2045578956604,,
lncntyquota0,"B: all counties, 1820-1910 (paper label)",149786.0,2.504340171813965,0.8438708782196045,-11.712610244750977,4.279930591583252,,
dist_nanjing,"B: all counties, 1820-1910 (paper label)",149786.0,9.122695639134509,4.737308286576155,0.16165437177814496,23.63910881531917,,
Taiping_route1,"B: all counties, 1820-1910 (paper label)",149786.0,0.03645200654864311,0.18741261959075928,0.0,1.0,,
