table,col,var,paper_coef,paper_se,paper_N,stata_coef,stata_se,stata_N,coef,se,N,abs_diff_coef_vs_stata,abs_diff_se_vs_stata,status
Table 5,1,Zeng_all0_invdistXperiod,0.053,0.005,6825,0.053,0.005,6825,0.053127957108373994,0.004501084611115463,6825,0.0,0.0,✅
Table 5,2,Zeng_all0_invdistXperiod,0.054,0.005,6825,0.054,0.005,6825,0.054137862949907335,0.005285646214279601,6825,0.0,0.0,✅
Table 5,3,Zeng_all0_invdistXperiod,0.009,0.012,142961,0.009,0.012,142961,0.008984587337936077,0.01165929387115081,142961,0.0,0.0,✅
Table 5,4,Zeng_all0_invdistXperiod,0.011,0.011,142961,0.011,0.011,142961,0.010972551234951144,0.011213104770437935,142961,0.0,0.0,✅
Table 5,5,hXZeng_all0_invdistXperiod,0.044,0.012,149786,0.044,0.012,149786,0.04414336977043776,0.012435658334524723,149786,0.0,0.0,✅
Table 5,5,Zeng_all0_invdistXperiod,0.009,0.012,149786,0.009,0.012,149786,0.008984587337935626,0.011657768032554682,149786,0.0,0.0,✅
Table 5,5,hunanXperiod,0.094,0.058,149786,0.094,0.058,149786,0.09436567360987037,0.05808354672741489,149786,0.0,0.0,✅
Table 5,6,hXZeng_all0_invdistXperiod,0.049,0.013,149786,0.049,0.013,149786,0.04907478057224564,0.01266096707224042,149786,0.0,0.0,✅
Table 5,6,Zeng_all0_invdistXperiod,0.011,0.011,149786,0.011,0.011,149786,0.010929054935182796,0.011146179146942664,149786,0.0,0.0,✅
Table 5,6,hunanXperiod,0.082,0.063,149786,0.082,0.063,149786,0.08199124271725151,0.06327050109336346,149786,0.0,0.0,✅
